#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1100: Saint Elmo, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Saint Elmo (1100) 
# Colorado  SNOTEL Site - 10420 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:03:56 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2007-09-10,,,62.1,30.2,44.6,
2007-09-11,,,64.9,28.8,45.7,
2007-09-12,,,63.7,34.2,46.6,
2007-09-13,,,66.0,31.8,46.8,
2007-09-14,,,65.3,34.5,48.2,
2007-09-15,,,63.3,38.8,48.4,
2007-09-16,,,60.4,36.1,45.7,
2007-09-17,,,44.8,30.6,39.4,
2007-09-18,,,54.1,29.3,38.8,
2007-09-19,,,61.2,27.7,44.2,
2007-09-20,,,63.1,36.1,48.6,
2007-09-21,,,65.8,35.8,48.2,
2007-09-22,,,65.1,34.5,48.0,
2007-09-23,,,51.3,32.2,42.6,
2007-09-24,,,49.8,26.2,35.8,
2007-09-25,,,54.1,21.9,35.8,
2007-09-26,,,55.6,28.4,38.8,
2007-09-27,,,59.7,25.9,39.6,
2007-09-28,,,52.9,29.3,41.0,
2007-09-29,,,46.8,,41.9,
2007-09-30,,,54.7,21.7,35.2,
2007-10-01,0.0,0.0,55.6,26.2,40.5,0.2
2007-10-02,0.0,0.2,50.4,26.6,35.6,0.2
2007-10-03,0.0,0.4,57.2,26.4,40.5,0.0
2007-10-04,0.0,0.4,60.6,28.8,43.9,0.0
2007-10-05,0.0,0.4,52.5,38.3,44.1,0.0
2007-10-06,0.0,0.4,55.9,19.6,39.0,0.0
2007-10-07,0.0,0.4,41.4,14.5,26.6,0.0
2007-10-08,0.0,0.4,57.2,20.7,35.6,0.0
2007-10-09,0.0,0.4,61.2,27.0,39.6,0.0
2007-10-10,0.0,0.4,62.1,30.2,42.1,0.0
2007-10-11,0.0,0.4,61.3,28.8,40.6,0.0
2007-10-12,0.0,0.4,61.3,27.3,42.1,0.0
2007-10-13,0.0,0.4,45.9,24.3,34.5,0.1
2007-10-14,0.0,0.5,34.5,24.1,28.8,0.2
2007-10-15,0.2,0.7,39.6,22.3,28.8,0.0
2007-10-16,0.2,0.7,47.8,20.5,30.9,0.1
2007-10-17,0.1,0.8,35.8,19.4,26.2,0.2
2007-10-18,0.3,1.0,32.9,17.4,23.2,0.0
2007-10-19,0.3,1.0,49.1,21.7,35.6,0.0
2007-10-20,0.3,1.0,52.5,25.3,37.8,0.1
2007-10-21,0.3,1.1,25.2,1.9,16.5,0.1
2007-10-22,0.4,1.2,34.5,1.2,18.9,0.0
2007-10-23,0.5,1.2,54.3,21.2,32.9,0.1
2007-10-24,0.5,1.3,59.7,23.7,35.2,0.0
2007-10-25,0.5,1.3,58.5,25.7,36.3,0.0
2007-10-26,0.5,1.3,57.0,25.2,35.2,0.0
2007-10-27,0.4,1.3,51.1,22.6,34.3,0.0
2007-10-28,0.4,1.3,51.8,25.5,34.7,0.0
2007-10-29,0.4,1.3,53.1,26.2,35.8,0.0
2007-10-30,0.3,1.3,48.4,26.2,35.2,0.0
2007-10-31,0.3,1.3,41.0,22.1,28.8,0.0
2007-11-01,0.3,1.3,45.5,19.4,28.8,0.0
