#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1141: Upper Taylor, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Upper Taylor (1141) 
# Colorado  SNOTEL Site - 10710 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:05:00 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2009-09-01,,,73.9,42.1,52.7,
2009-09-02,,,66.9,38.1,49.1,
2009-09-03,,,67.3,36.9,49.1,
2009-09-04,,,64.0,36.0,45.9,
2009-09-05,,,57.2,33.4,46.0,
2009-09-06,,,58.5,37.2,45.3,
2009-09-07,,,63.7,35.8,46.6,
2009-09-08,,,73.0,38.1,48.4,
2009-09-09,,,63.0,36.5,47.1,
2009-09-10,,,61.0,35.2,47.3,
2009-09-11,,,67.5,35.2,49.5,
2009-09-12,,,64.4,33.8,42.6,
2009-09-13,,,61.7,32.7,44.6,
2009-09-14,,,59.0,33.4,43.5,
2009-09-15,,,60.1,30.9,43.7,
2009-09-16,,,58.8,34.3,44.4,
2009-09-17,,,60.6,35.1,45.5,
2009-09-18,,,59.7,32.0,41.4,
2009-09-19,,,58.8,30.4,41.2,
2009-09-20,,,49.5,31.6,37.8,
2009-09-21,,,35.2,19.9,27.5,
2009-09-22,,,34.3,21.2,26.6,
2009-09-23,,,40.6,24.6,31.3,
2009-09-24,,,44.1,23.4,30.9,
2009-09-25,,,53.2,24.3,37.4,
2009-09-26,,,60.6,28.8,42.8,
2009-09-27,,,66.9,32.2,46.6,
2009-09-28,,,66.6,31.8,47.1,
2009-09-29,,,61.5,33.4,46.2,
2009-09-30,,,47.3,19.0,36.3,
2009-10-01,0.0,0.0,29.5,12.9,19.4,0.10
2009-10-02,0.0,0.1,45.9,11.3,27.9,0.10
2009-10-03,0.0,0.2,50.2,21.2,35.2,0.10
2009-10-04,0.0,0.3,43.0,25.0,34.2,0.40
2009-10-05,0.2,0.7,35.1,13.8,27.1,0.10
2009-10-06,0.1,0.8,42.8,11.1,25.2,0.10
2009-10-07,0.0,0.9,53.6,19.9,31.8,0.10
2009-10-08,0.1,1.0,42.4,20.7,30.2,0.00
2009-10-09,0.0,1.0,42.4,15.4,29.5,0.10
2009-10-10,0.0,1.1,47.3,27.7,36.9,0.00
2009-10-11,0.0,1.1,43.2,29.1,34.9,0.00
2009-10-12,0.0,1.1,57.0,27.7,37.4,0.00
2009-10-13,0.0,1.1,39.0,28.8,32.5,0.40
2009-10-14,0.1,1.5,37.8,29.3,32.7,0.70
2009-10-15,0.7,2.2,43.0,26.4,32.7,0.00
2009-10-16,0.5,2.2,46.6,22.6,32.5,0.00
2009-10-17,0.1,2.2,54.9,23.7,35.6,0.00
2009-10-18,0.0,2.2,56.1,27.0,38.8,0.00
2009-10-19,0.0,2.2,51.4,29.3,36.9,0.10
2009-10-20,0.0,2.3,57.9,28.8,36.1,0.10
2009-10-21,0.2,2.4,36.0,23.5,30.2,0.00
2009-10-22,0.1,2.4,36.1,21.0,27.7,0.00
2009-10-23,0.0,2.4,40.5,21.6,29.1,0.00
2009-10-24,0.0,2.4,39.4,21.4,29.8,0.10
2009-10-25,0.0,2.5,31.8,7.7,21.6,0.00
2009-10-26,0.0,2.5,35.6,3.0,20.8,0.10
