#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1160: Weminuche Creek, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Weminuche Creek (1160) 
# Colorado  SNOTEL Site - 10730 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:05:11 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2010-10-01,0.0,0.0,,,,0.00
2010-10-02,0.0,0.0,,,,0.00
2010-10-03,0.0,0.0,,,,0.00
2010-10-04,0.0,0.0,,,,0.20
2010-10-05,0.0,0.2,,,,0.40
2010-10-06,0.0,0.6,,,,0.60
2010-10-07,0.0,1.2,,,,0.70
2010-10-08,0.0,1.9,,,,0.10
2010-10-09,0.0,2.0,,,,0.10
2010-10-10,0.0,2.1,,,,0.00
2010-10-11,0.0,2.1,,,,0.00
2010-10-12,0.0,2.1,,,,0.10
2010-10-13,0.0,2.2,,,,0.00
2010-10-14,0.0,2.2,,,,0.00
2010-10-15,0.0,2.2,,,,0.10
2010-10-16,0.0,2.3,,,,0.00
2010-10-17,0.0,2.3,,,,0.00
2010-10-18,0.0,2.3,,,,0.10
2010-10-19,0.0,2.4,,,,0.10
2010-10-20,0.0,2.5,,,,0.30
2010-10-21,0.3,2.8,,,,0.50
2010-10-22,0.4,3.3,,,,0.30
2010-10-23,0.5,3.6,,,,0.00
2010-10-24,0.5,3.6,,,,0.20
2010-10-25,0.5,3.8,,,,0.40
2010-10-26,0.5,4.2,,,,0.00
2010-10-27,0.5,4.2,,,,0.00
2010-10-28,0.5,4.2,,,,0.00
2010-10-29,0.5,4.2,47.5,,10.0,0.10
2010-10-30,0.5,4.3,49.6,27.0,37.4,0.00
2010-10-31,0.2,4.3,41.9,23.0,30.6,0.00
2010-11-01,0.1,4.3,40.1,25.7,31.5,0.00
2010-11-02,0.0,4.3,56.1,28.8,43.0,0.50
2010-11-03,0.0,4.8,54.1,32.5,41.9,0.00
2010-11-04,0.0,4.8,45.7,28.8,35.8,0.00
2010-11-05,0.0,4.8,51.3,31.3,38.8,0.00
2010-11-06,0.0,4.8,51.4,32.5,39.9,0.10
2010-11-07,0.0,4.9,,,,0.00
2010-11-08,0.0,4.9,42.8,25.7,31.5,0.00
2010-11-09,0.0,4.9,28.0,8.8,18.9,0.00
2010-11-10,0.0,4.9,27.3,5.2,14.9,0.20
2010-11-11,0.2,5.1,23.5,8.4,16.2,0.50
2010-11-12,0.7,5.6,32.9,8.2,18.7,0.00
2010-11-13,0.7,5.6,30.7,11.8,18.3,0.10
2010-11-14,0.7,5.7,33.3,11.8,19.6,0.00
2010-11-15,0.7,5.7,27.3,12.7,19.0,0.10
2010-11-16,0.8,5.8,34.2,10.8,19.9,0.10
2010-11-17,0.9,5.9,33.1,12.9,20.7,0.00
2010-11-18,0.9,5.9,42.4,17.2,28.0,0.50
2010-11-19,0.9,6.4,38.8,21.7,28.2,0.10
2010-11-20,0.9,6.5,36.7,21.2,26.8,0.40
2010-11-21,1.3,6.9,25.2,11.5,20.3,0.30
2010-11-22,1.8,7.2,16.7,2.5,8.6,0.00
2010-11-23,1.8,7.2,21.2,2.8,12.2,0.00
2010-11-24,1.8,7.2,18.0,-3.5,10.9,0.00
