#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1186: Fool Creek, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fool Creek (1186) 
# Colorado  SNOTEL Site - 11130 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:01:40 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2011-10-01,0.0,0.00,,,,0.10
2011-10-02,0.0,0.10,,,,0.00
2011-10-03,0.0,0.10,,,,0.00
2011-10-04,0.0,0.10,47.8,,36.0,0.10
2011-10-05,0.0,0.20,46.8,33.3,38.1,0.00
2011-10-06,0.0,0.20,45.0,16.9,29.7,0.10
2011-10-07,0.1,0.30,34.7,16.3,23.5,0.00
2011-10-08,0.2,0.30,25.0,18.7,21.6,0.40
2011-10-09,0.6,0.70,29.1,17.1,23.5,0.30
2011-10-10,0.7,1.00,39.0,17.8,27.7,0.20
2011-10-11,0.7,1.20,37.4,26.2,29.5,0.60
2011-10-12,1.4,1.80,37.2,23.2,28.4,0.10
2011-10-13,1.4,1.90,46.8,25.9,36.0,0.10
2011-10-14,1.5,2.00,49.5,34.3,39.4,0.00
2011-10-15,1.5,2.00,54.0,37.2,44.8,0.00
2011-10-16,1.5,2.00,52.9,32.4,43.7,0.10
2011-10-17,1.5,2.10,32.9,21.6,27.0,0.30
2011-10-18,1.9,2.40,32.0,19.6,23.5,0.00
2011-10-19,1.8,2.40,43.9,17.4,29.7,0.20
2011-10-20,1.9,2.60,45.0,26.8,33.1,0.10
2011-10-21,1.9,2.70,47.8,27.7,34.9,0.10
2011-10-22,2.0,2.80,42.6,29.5,33.8,0.00
2011-10-23,1.9,2.80,47.3,25.0,35.1,0.00
2011-10-24,1.9,2.80,51.6,32.5,40.1,0.10
2011-10-25,1.9,2.90,46.8,19.6,33.4,0.90
2011-10-26,2.9,3.80,22.5,9.3,17.8,0.60
2011-10-27,3.4,4.40,28.0,4.1,13.5,0.00
2011-10-28,3.4,4.40,28.8,7.9,15.4,0.10
2011-10-29,3.4,4.50,34.0,13.8,23.7,0.10
2011-10-30,3.5,4.60,36.7,15.8,25.2,0.10
2011-10-31,3.5,4.70,42.6,23.0,30.7,0.10
2011-11-01,3.5,4.80,42.3,10.2,29.7,0.10
2011-11-02,3.6,4.90,16.7,2.7,8.4,0.00
2011-11-03,3.6,4.90,40.6,3.7,24.1,0.20
2011-11-04,3.8,5.10,45.0,18.3,31.6,0.10
2011-11-05,3.9,5.20,33.4,9.9,22.5,0.00
2011-11-06,3.9,5.20,18.9,5.5,10.9,0.00
2011-11-07,3.8,5.20,26.8,6.3,14.9,0.10
2011-11-08,3.9,5.30,17.2,3.7,11.1,0.00
2011-11-09,3.9,5.30,20.8,1.9,10.8,0.00
2011-11-10,4.0,5.30,30.9,10.0,19.8,0.10
2011-11-11,4.1,5.40,38.3,18.3,26.2,0.10
2011-11-12,4.1,5.50,27.7,18.3,23.2,0.10
2011-11-13,4.2,5.60,24.3,15.1,20.8,0.10
2011-11-14,4.4,5.70,23.2,14.2,18.7,0.10
2011-11-15,4.4,5.80,23.5,13.6,18.0,0.00
2011-11-16,4.4,5.80,15.3,5.7,10.0,0.00
2011-11-17,4.3,5.80,30.9,10.9,21.6,0.10
2011-11-18,4.5,5.90,36.7,22.5,28.0,0.00
2011-11-19,4.6,5.90,26.8,13.6,19.2,0.40
2011-11-20,4.9,6.30,30.0,16.0,21.4,0.00
2011-11-21,4.9,6.30,27.3,14.7,20.3,0.20
2011-11-22,5.1,6.50,28.8,14.5,20.1,0.00
2011-11-23,5.1,6.50,37.2,14.5,23.5,0.10
2011-11-24,5.1,6.60,37.2,19.8,27.0,0.00
2011-11-25,5.2,6.60,26.4,4.5,18.3,0.00
2011-11-26,5.3,6.60,14.5,-1.1,3.2,0.00
2011-11-27,5.3,6.60,28.8,1.8,16.9,0.20
2011-11-28,5.5,6.80,36.7,17.4,25.7,0.00
2011-11-29,5.5,6.80,31.6,18.9,23.2,0.00
2011-11-30,5.5,6.80,35.1,16.0,24.6,0.00
2011-12-01,5.5,6.80,16.3,7.5,12.2,0.00
2011-12-02,5.5,6.80,25.0,9.9,16.3,0.00
2011-12-03,5.5,6.80,14.7,0.3,6.8,0.00
2011-12-04,5.5,6.80,5.2,-8.1,-1.1,0.00
2011-12-05,5.5,6.80,3.2,-16.1,-6.5,0.00
2011-12-06,5.3,6.80,9.0,-16.1,-2.9,0.20
2011-12-07,5.5,7.00,27.3,3.4,14.5,0.10
2011-12-08,5.7,7.10,16.7,5.0,11.5,0.00
2011-12-09,5.7,7.10,21.6,6.4,13.5,0.00
2011-12-10,5.7,7.10,26.2,7.3,14.2,0.00
2011-12-11,5.7,7.10,25.2,7.2,13.3,0.00
2011-12-12,5.7,7.10,31.5,9.1,19.0,0.00
2011-12-13,5.8,7.10,27.9,12.9,18.3,0.00
2011-12-14,5.8,7.10,17.1,5.5,12.7,0.00
2011-12-15,5.8,7.10,20.7,2.7,8.4,0.00
2011-12-16,5.8,7.10,21.9,2.3,9.1,0.00
2011-12-17,5.8,7.10,37.9,12.6,21.7,0.10
2011-12-18,5.9,7.20,36.7,19.0,25.0,0.00
2011-12-19,5.9,7.20,22.5,9.1,16.3,0.00
2011-12-20,5.9,7.20,23.9,6.8,10.9,0.00
2011-12-21,5.9,7.20,20.8,5.2,12.2,0.00
2011-12-22,5.9,7.20,7.5,-3.6,1.9,0.00
2011-12-23,5.9,7.20,20.5,-3.6,4.6,0.00
2011-12-24,6.0,7.20,28.8,4.6,12.9,0.10
2011-12-25,6.1,7.30,34.2,11.5,20.1,0.00
2011-12-26,6.2,7.30,24.6,13.3,18.7,0.00
2011-12-27,6.2,7.30,27.1,7.2,15.6,0.00
2011-12-28,6.1,7.30,28.8,10.2,22.1,0.10
2011-12-29,6.3,7.40,29.3,19.6,24.6,0.10
2011-12-30,6.4,7.50,35.6,17.1,27.5,0.00
2011-12-31,6.5,7.50,31.8,-3.1,9.3,0.00
2012-01-01,6.5,7.50,25.3,1.2,16.5,0.10
2012-01-02,6.6,7.60,33.3,12.6,21.6,0.00
2012-01-03,6.6,7.60,34.5,15.3,24.6,0.00
2012-01-04,6.6,7.60,34.3,12.7,21.2,0.00
2012-01-05,6.6,7.60,41.9,19.6,27.1,0.00
2012-01-06,6.6,7.60,29.8,16.2,21.6,0.00
2012-01-07,6.6,7.60,21.0,3.9,15.6,0.30
2012-01-08,7.0,7.90,17.4,-0.2,5.2,0.00
2012-01-09,7.0,7.90,35.6,5.5,17.8,0.20
2012-01-10,7.1,8.10,35.8,14.9,20.1,0.00
2012-01-11,7.2,8.10,17.8,-6.7,3.6,0.00
2012-01-12,7.2,8.10,11.8,-6.7,1.4,0.10
2012-01-13,7.4,8.20,15.1,1.9,9.9,0.10
2012-01-14,7.4,8.30,30.9,12.2,22.5,0.10
2012-01-15,7.6,8.40,33.3,14.2,23.2,0.00
2012-01-16,7.6,8.40,21.6,-7.8,11.1,0.20
2012-01-17,7.9,8.60,7.9,-15.9,-2.9,0.10
2012-01-18,8.0,8.70,21.2,6.1,15.1,0.30
2012-01-19,8.2,9.00,30.9,19.2,25.3,0.30
2012-01-20,8.6,9.30,23.9,14.5,19.9,0.10
2012-01-21,8.8,9.40,34.2,13.8,21.9,0.40
2012-01-22,9.1,9.80,19.4,0.7,9.3,0.20
2012-01-23,9.4,10.00,21.6,-0.2,11.3,0.00
2012-01-24,9.5,10.00,19.2,1.2,12.4,0.00
2012-01-25,9.5,10.00,27.9,0.3,14.4,0.20
2012-01-26,9.7,10.20,28.4,11.5,18.9,0.20
2012-01-27,10.1,10.40,15.6,-4.0,7.0,0.00
2012-01-28,10.1,10.40,14.0,-3.3,7.3,0.10
2012-01-29,10.1,10.50,26.6,9.1,17.4,0.00
2012-01-30,10.2,10.50,30.2,14.2,21.6,0.00
2012-01-31,10.2,10.50,26.6,4.5,15.4,0.00
2012-02-01,10.2,10.50,26.4,6.4,16.3,0.00
2012-02-02,10.2,10.50,24.8,9.5,15.4,0.00
