#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1187: High Lonesome, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# High Lonesome (1187) 
# Colorado  SNOTEL Site - 10630 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:01:51 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2013-09-05,0.0,,,,,
2013-09-06,0.0,,64.4,45.0,54.9,
2013-09-07,0.0,,66.4,45.9,55.8,
2013-09-08,0.0,,65.3,43.5,54.3,
2013-09-09,0.0,,63.3,43.0,53.2,
2013-09-10,0.0,,59.4,43.2,48.9,
2013-09-11,0.0,,58.3,45.0,48.6,
2013-09-12,0.0,,59.7,43.2,48.0,
2013-09-13,0.0,,54.1,43.9,46.8,
2013-09-14,0.0,,,40.8,,
2013-09-15,0.0,,,41.0,,
2013-09-16,0.0,,,,,
2013-09-17,0.0,,,,,
2013-09-18,0.0,,,,,
2013-09-19,0.0,,,,,
2013-09-20,0.0,,,,,
2013-09-21,0.0,,,,,
2013-09-22,0.0,,,,,
2013-09-23,0.4,,,,,
2013-09-24,0.8,,,,,
2013-09-25,0.7,,,,,
2013-09-26,0.0,,,,,
2013-09-27,0.0,,,,,
2013-09-28,0.8,,,,,
2013-09-29,0.8,,,,,
2013-09-30,0.7,,,,,
2013-10-01,0.3,0.0,,,,0.1
2013-10-02,0.0,0.1,,,,0.0
2013-10-03,0.0,0.1,,,,0.0
2013-10-04,0.0,0.1,,,,0.6
2013-10-05,0.6,0.7,,,,0.1
2013-10-06,0.7,0.8,,,,0.1
2013-10-07,0.7,0.9,,,,0.0
2013-10-08,0.7,0.9,,,,0.0
2013-10-09,0.5,0.9,,,,0.0
2013-10-10,0.0,0.9,,,,0.2
2013-10-11,0.4,1.1,,,,0.5
2013-10-12,0.8,1.6,,,,0.0
2013-10-13,0.8,1.6,,,,0.1
2013-10-14,0.9,1.7,,,,0.3
2013-10-15,1.1,2.0,,,,0.0
2013-10-16,1.1,2.0,,,,0.0
2013-10-17,1.1,2.0,,,,0.1
2013-10-18,1.2,2.1,,,,0.0
2013-10-19,1.2,2.1,,,,0.1
2013-10-20,1.3,2.2,,,,0.1
2013-10-21,1.4,2.3,,,,0.0
2013-10-22,1.5,2.3,,,,0.1
2013-10-23,1.5,2.4,,,,0.0
2013-10-24,1.5,2.4,,,,0.0
2013-10-25,1.5,2.4,,,,0.0
2013-10-26,1.5,2.4,,,,0.0
2013-10-27,1.5,2.4,,,,0.0
2013-10-28,1.5,2.4,,,,0.0
2013-10-29,1.5,2.4,29.7,29.7,28.8,0.3
2013-10-30,1.7,2.7,27.7,21.9,31.3,0.0
2013-10-31,1.8,2.7,,,,0.2
2013-11-01,1.9,2.9,,,,0.0
2013-11-02,2.0,2.9,,,,0.1
2013-11-03,2.0,3.0,,,,0.2
2013-11-04,2.2,3.2,,,,0.0
2013-11-05,2.3,3.2,,,,0.1
2013-11-06,2.3,3.3,,,,0.2
2013-11-07,2.4,3.5,,,,0.0
2013-11-08,2.5,3.5,31.6,18.3,29.7,0.0
2013-11-09,2.5,3.5,,,,0.0
2013-11-10,2.5,3.5,,,,0.0
2013-11-11,2.5,3.5,,,,0.0
2013-11-12,2.5,3.5,,,,0.0
2013-11-13,2.5,3.5,,,,0.1
2013-11-14,2.5,3.6,,,,0.0
2013-11-15,2.5,3.6,,,,0.2
2013-11-16,2.7,3.8,,,,0.3
2013-11-17,3.1,4.1,,,,0.3
2013-11-18,3.4,4.4,,,,0.0
2013-11-19,3.4,4.4,,,,0.1
2013-11-20,3.5,4.5,,,,0.1
2013-11-21,3.6,4.6,,,,0.1
2013-11-22,3.7,4.7,,,,0.2
2013-11-23,3.8,4.9,,,,0.2
2013-11-24,4.1,5.1,,,,0.0
2013-11-25,4.1,5.1,,,,0.0
2013-11-26,4.1,5.1,,,,0.0
2013-11-27,4.1,5.1,,,,0.0
2013-11-28,4.1,5.1,,,,0.0
2013-11-29,4.1,5.1,,,,0.0
2013-11-30,4.1,5.1,,,,0.0
2013-12-01,4.1,5.1,,,,0.1
2013-12-02,4.2,5.2,,,,0.2
2013-12-03,4.4,5.4,,,,0.3
2013-12-04,4.6,5.7,,,,0.1
2013-12-05,4.9,5.8,,,,0.1
2013-12-06,4.9,5.9,,,,0.0
2013-12-07,5.0,5.9,,,,0.2
2013-12-08,5.1,6.1,,,,0.1
2013-12-09,5.3,6.2,,,,0.1
2013-12-10,5.3,6.3,,,,0.2
2013-12-11,5.4,6.5,,,,0.0
2013-12-12,5.4,6.5,,,,0.0
2013-12-13,5.4,6.5,,,,0.0
2013-12-14,5.4,6.5,,,,0.1
2013-12-15,5.5,6.6,,,,0.0
2013-12-16,5.6,6.6,,,,0.1
2013-12-17,5.6,6.7,,,,0.0
2013-12-18,5.6,6.7,,,,0.0
2013-12-19,5.6,6.7,,,,0.0
2013-12-20,5.6,6.7,,,,0.2
2013-12-21,5.8,6.9,,,,0.1
2013-12-22,5.9,7.0,,,,0.3
2013-12-23,6.3,7.3,,,,0.3
2013-12-24,6.5,7.6,,,,0.1
2013-12-25,6.8,7.7,,,,0.0
2013-12-26,6.8,7.7,,,,0.1
2013-12-27,6.8,7.8,,,,0.1
2013-12-28,6.8,7.9,,,,0.1
2013-12-29,6.9,8.0,,,,0.0
2013-12-30,6.9,8.0,,,,0.0
2013-12-31,7.0,8.0,,,,0.2
2014-01-01,7.1,8.2,,,,0.1
2014-01-02,7.2,8.3,,,,0.0
2014-01-03,7.3,8.3,,,,0.1
2014-01-04,7.3,8.4,,,,0.4
2014-01-05,7.8,8.8,,,,0.1
2014-01-06,8.0,8.9,,,,0.1
2014-01-07,8.1,9.0,,,,0.2
2014-01-08,8.2,9.2,,,,0.1
