#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1188: Wager Gulch, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Wager Gulch (1188) 
# Colorado  SNOTEL Site - 11110 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:05:10 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2011-09-21,0.0,,57.7,31.8,44.6,
2011-09-22,0.0,,59.5,28.8,41.2,
2011-09-23,0.0,,62.1,28.8,44.4,
2011-09-24,0.0,,62.6,34.3,46.8,
2011-09-25,0.0,,57.4,35.2,43.7,
2011-09-26,0.0,,59.5,33.8,44.6,
2011-09-27,0.0,,63.3,34.3,45.7,
2011-09-28,0.0,,62.8,34.3,46.8,
2011-09-29,0.0,,59.9,36.0,45.5,
2011-09-30,0.0,,56.8,34.3,41.9,
2011-10-01,0.0,0.0,60.8,34.0,43.9,0.0
2011-10-02,0.0,0.0,54.3,34.0,41.2,0.1
2011-10-03,0.0,0.1,55.8,32.7,41.9,0.1
2011-10-04,0.0,0.2,42.8,32.0,36.5,0.5
2011-10-05,0.0,0.7,43.7,29.7,34.9,0.3
2011-10-06,0.4,1.0,32.4,16.5,25.7,1.5
2011-10-07,1.2,2.5,36.0,10.4,22.6,0.2
2011-10-08,1.3,2.7,34.7,16.2,23.2,0.4
2011-10-09,1.4,3.1,38.3,14.0,25.3,0.0
2011-10-10,1.4,3.1,45.3,14.5,28.2,0.0
2011-10-11,1.3,3.1,44.8,27.5,35.1,0.0
2011-10-12,1.2,3.1,50.4,24.4,35.2,0.0
2011-10-13,1.0,3.1,54.7,25.9,37.4,0.0
2011-10-14,0.6,3.1,55.0,27.9,38.8,0.0
2011-10-15,0.0,3.1,60.1,29.8,42.1,0.0
2011-10-16,0.0,3.1,57.2,36.7,46.4,0.0
2011-10-17,0.0,3.1,42.4,25.7,34.0,0.1
2011-10-18,0.0,3.2,46.2,20.7,31.3,0.0
2011-10-19,0.0,3.2,55.9,25.2,37.9,0.0
2011-10-20,0.0,3.2,54.7,26.6,35.6,0.0
2011-10-21,0.0,3.2,51.8,26.2,36.1,0.0
2011-10-22,0.0,3.2,48.6,25.7,34.9,0.0
2011-10-23,0.0,3.2,55.9,24.4,36.5,0.0
2011-10-24,0.0,3.2,53.4,27.7,39.6,0.0
2011-10-25,0.0,3.2,41.0,30.6,34.3,0.2
2011-10-26,0.2,3.4,33.4,21.7,28.0,0.5
2011-10-27,0.4,3.9,37.0,11.3,22.1,0.0
2011-10-28,0.5,3.9,39.6,8.2,22.6,0.0
2011-10-29,0.4,3.9,43.2,16.7,29.8,0.0
2011-10-30,0.2,3.9,47.5,19.6,31.6,0.0
2011-10-31,0.0,3.9,50.2,21.9,32.4,0.0
2011-11-01,0.1,3.9,45.0,21.9,32.0,0.1
2011-11-02,0.2,4.0,26.4,7.2,16.0,0.1
2011-11-03,0.0,4.1,47.3,12.2,29.7,0.0
2011-11-04,0.0,4.1,37.8,26.6,31.6,0.1
2011-11-05,0.1,4.2,28.8,7.2,19.9,1.0
2011-11-06,1.0,5.2,28.8,7.9,16.3,0.0
2011-11-07,1.0,5.2,25.2,11.8,18.0,0.1
2011-11-08,1.0,5.3,28.8,2.1,14.2,0.0
2011-11-09,1.0,5.3,28.8,0.9,12.4,0.0
2011-11-10,1.0,5.3,40.5,5.5,19.8,0.0
2011-11-11,1.0,5.3,43.7,14.9,28.0,0.0
2011-11-12,1.0,5.3,32.5,23.7,27.0,0.1
2011-11-13,1.0,5.4,32.4,10.0,25.2,0.1
2011-11-14,1.1,5.5,33.1,7.3,19.2,0.1
2011-11-15,1.1,5.6,35.8,11.7,21.9,0.0
2011-11-16,1.1,5.6,28.8,7.3,16.7,0.0
2011-11-17,1.1,5.6,39.4,12.4,25.2,0.0
2011-11-18,1.1,5.6,40.1,18.9,27.9,0.0
2011-11-19,1.0,5.6,30.2,23.2,25.9,0.0
2011-11-20,1.0,5.6,34.7,18.0,25.3,0.0
2011-11-21,1.0,5.6,34.2,16.0,23.5,0.2
2011-11-22,1.1,5.8,38.3,12.9,22.3,0.0
2011-11-23,1.1,5.8,50.0,16.2,29.3,0.0
2011-11-24,1.2,5.8,43.7,19.6,29.3,0.0
2011-11-25,1.2,5.8,28.8,12.9,22.3,0.1
2011-11-26,1.3,5.9,28.0,3.0,14.5,0.0
2011-11-27,1.3,5.9,42.1,12.4,25.2,0.0
2011-11-28,1.3,5.9,43.9,22.3,30.9,0.0
2011-11-29,1.3,5.9,44.1,18.0,27.3,0.0
2011-11-30,1.3,5.9,41.0,20.8,30.7,0.0
2011-12-01,1.3,5.9,24.8,14.9,19.0,0.4
2011-12-02,1.6,6.3,24.8,12.6,17.8,0.2
2011-12-03,1.7,6.5,17.6,2.1,11.8,0.1
2011-12-04,1.8,6.6,10.9,0.3,5.5,0.4
2011-12-05,2.1,7.0,10.8,-13.0,-2.2,0.1
2011-12-06,2.2,7.1,20.8,-12.6,4.6,0.0
2011-12-07,2.2,7.1,36.1,9.1,19.6,0.0
2011-12-08,2.2,7.1,28.4,1.8,14.5,0.0
2011-12-09,2.2,7.1,33.1,3.4,12.9,0.0
2011-12-10,2.2,7.1,35.6,7.2,16.7,0.0
2011-12-11,2.3,7.1,31.6,7.5,15.6,0.0
2011-12-12,2.3,7.1,28.0,9.5,20.3,0.3
2011-12-13,2.6,7.4,26.6,16.5,20.5,0.2
2011-12-14,2.8,7.6,25.5,-0.6,12.0,0.0
2011-12-15,2.8,7.6,27.9,-0.8,9.1,0.0
2011-12-16,2.8,7.6,38.5,0.0,13.6,0.0
2011-12-17,2.8,7.6,43.2,12.0,24.1,0.0
2011-12-18,2.8,7.6,43.7,18.3,26.6,0.0
2011-12-19,2.8,7.6,26.2,14.9,19.9,0.2
2011-12-20,2.9,7.8,30.6,3.2,13.5,0.0
2011-12-21,2.9,7.8,27.9,-1.7,10.9,0.0
2011-12-22,2.9,7.8,11.5,-5.4,5.7,0.1
2011-12-23,3.1,7.9,21.9,-5.1,5.5,0.0
2011-12-24,3.1,7.9,31.3,2.3,13.3,0.1
2011-12-25,3.1,8.0,36.9,8.2,19.4,0.0
2011-12-26,3.1,8.0,36.5,13.6,23.5,0.0
2011-12-27,3.1,8.0,40.3,13.6,23.5,0.0
2011-12-28,3.1,8.0,37.8,14.5,27.0,0.0
2011-12-29,3.1,8.0,37.2,22.6,30.2,0.0
2011-12-30,3.1,8.0,43.7,19.0,29.8,0.0
2011-12-31,3.1,8.0,33.3,9.5,22.6,0.0
2012-01-01,3.0,8.0,39.4,14.2,24.4,0.0
2012-01-02,3.0,8.0,45.7,15.4,26.6,0.0
2012-01-03,3.0,8.0,41.7,13.1,26.4,0.0
2012-01-04,3.0,8.0,44.1,11.3,24.4,0.0
2012-01-05,3.0,8.0,46.0,20.7,29.8,0.0
2012-01-06,3.0,8.0,38.3,14.7,24.1,0.0
2012-01-07,3.0,8.0,27.3,6.3,19.4,0.1
2012-01-08,3.1,8.1,24.8,2.7,10.4,0.0
2012-01-09,3.1,8.1,38.7,7.3,21.7,0.0
2012-01-10,3.1,8.1,45.9,15.1,24.4,0.0
2012-01-11,3.1,8.1,23.5,-5.6,11.5,0.0
2012-01-12,3.1,8.1,21.9,-4.7,5.9,0.0
2012-01-13,3.1,8.1,27.1,-2.2,12.9,0.0
2012-01-14,3.1,8.1,42.6,11.1,23.4,0.0
2012-01-15,3.1,8.1,34.7,12.2,21.7,0.0
2012-01-16,3.1,8.1,21.9,7.2,16.7,0.3
2012-01-17,3.3,8.4,18.9,6.8,11.3,0.1
2012-01-18,3.3,8.5,33.4,13.8,24.1,0.0
