#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1251: Sawtooth, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sawtooth (1251) 
# Colorado  SNOTEL Site - 9640 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:04:07 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2014-09-24,,,63.3,42.4,51.3,
2014-09-25,0.0,,70.5,41.7,52.9,
2014-09-26,0.0,,70.0,43.9,54.7,
2014-09-27,0.0,,66.4,42.1,51.4,
2014-09-28,0.0,,56.8,38.1,45.7,
2014-09-29,0.0,,44.4,31.8,37.9,
2014-09-30,0.0,,37.0,31.6,33.1,
2014-10-01,0.0,0.00,38.1,28.0,32.9,0.30
2014-10-02,0.0,0.30,35.6,25.5,31.3,0.10
2014-10-03,0.0,0.40,44.6,30.4,36.7,0.00
2014-10-04,0.0,0.40,49.3,34.2,41.0,0.00
2014-10-05,0.0,0.40,49.8,35.6,41.9,0.00
2014-10-06,0.0,0.40,55.4,38.1,45.3,0.00
2014-10-07,0.0,0.40,57.2,35.6,45.7,0.00
2014-10-08,0.0,0.40,58.3,37.0,45.5,0.00
2014-10-09,0.0,0.40,45.3,32.7,37.2,1.00
2014-10-10,0.4,1.40,40.3,32.5,36.0,0.10
2014-10-11,0.0,1.50,46.0,35.1,40.5,0.00
2014-10-12,0.0,1.50,40.8,28.0,32.7,0.10
2014-10-13,0.0,1.60,36.1,27.0,31.3,0.00
2014-10-14,0.0,1.60,53.4,31.3,41.4,0.00
2014-10-15,0.0,1.60,61.3,38.3,49.8,0.00
2014-10-16,0.0,1.60,55.4,34.5,44.2,0.00
2014-10-17,0.0,1.60,55.0,29.5,40.1,0.00
2014-10-18,0.0,1.60,54.1,31.6,42.6,0.00
2014-10-19,0.0,1.60,55.4,32.2,41.2,0.00
2014-10-20,0.0,1.60,56.5,31.8,43.2,0.00
2014-10-21,0.0,1.60,53.6,37.8,44.1,0.10
2014-10-22,0.0,1.70,42.8,34.0,37.0,0.20
2014-10-23,0.0,1.90,49.8,36.5,42.6,0.00
2014-10-24,0.0,1.90,56.1,42.4,47.7,0.00
2014-10-25,0.0,1.90,59.7,34.9,48.0,0.00
2014-10-26,0.0,1.90,52.5,33.3,45.7,0.20
2014-10-27,0.0,2.10,33.3,19.9,24.4,0.60
2014-10-28,0.3,2.70,33.8,21.2,28.4,0.10
2014-10-29,0.3,2.80,41.9,29.7,36.3,0.00
2014-10-30,0.3,2.80,47.1,26.2,34.7,0.00
2014-10-31,0.3,2.80,53.2,24.3,39.9,0.00
2014-11-01,0.3,2.80,52.0,35.2,42.6,0.00
2014-11-02,0.0,2.80,45.9,30.0,37.4,0.00
2014-11-03,0.0,2.80,31.8,21.2,25.3,0.60
2014-11-04,0.4,3.40,30.7,19.8,25.5,0.00
2014-11-05,0.4,3.40,40.6,26.8,32.7,0.00
2014-11-06,0.4,3.40,47.8,29.8,39.6,0.00
2014-11-07,0.4,3.40,45.7,28.2,36.7,0.10
2014-11-08,0.5,3.50,42.4,28.0,35.6,0.00
2014-11-09,0.5,3.50,44.6,33.8,38.8,0.10
2014-11-10,0.5,3.60,38.8,2.8,23.5,0.40
