#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1252: Elkhead Divide, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Elkhead Divide (1252) 
# Colorado  SNOTEL Site - 8780 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:01:37 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2016-09-01,,,76.1,51.4,62.1,
2016-09-02,0.0,31.30,70.3,49.1,57.6,0.10
2016-09-03,0.0,31.40,64.9,45.7,52.0,1.00
2016-09-04,0.0,32.40,61.0,43.0,51.3,0.40
2016-09-05,0.0,32.80,67.3,42.3,54.0,0.10
2016-09-06,0.0,32.90,68.4,42.3,54.0,0.00
2016-09-07,0.0,32.90,68.0,43.2,53.8,0.10
2016-09-08,0.0,33.00,70.0,40.3,54.3,0.00
2016-09-09,0.0,33.00,59.4,36.7,46.2,0.00
2016-09-10,0.0,33.00,67.1,36.1,51.6,0.00
2016-09-11,0.0,33.00,73.4,42.1,57.0,0.00
2016-09-12,0.0,33.00,69.6,46.0,55.8,0.00
2016-09-13,0.0,33.00,65.8,43.5,51.8,0.10
2016-09-14,0.0,33.10,61.3,34.9,47.5,0.10
2016-09-15,0.0,33.20,49.5,32.7,39.9,0.00
2016-09-16,0.0,33.20,57.4,30.4,42.8,0.00
2016-09-17,0.0,33.20,61.9,34.9,46.6,0.00
2016-09-18,0.0,33.20,68.5,39.9,53.2,0.00
2016-09-19,0.0,33.20,73.4,45.7,58.5,0.00
2016-09-20,0.0,33.20,72.0,47.1,58.8,0.00
2016-09-21,0.0,33.20,57.2,44.1,51.3,0.00
2016-09-22,0.0,33.20,71.8,46.4,55.9,0.10
2016-09-23,0.0,33.30,57.0,30.6,36.3,0.50
2016-09-24,0.0,33.80,70.3,30.2,32.4,0.00
2016-09-25,0.0,33.80,50.0,30.6,37.8,0.00
2016-09-26,0.0,33.80,61.2,32.2,45.9,0.00
2016-09-27,0.0,33.80,66.4,38.1,51.3,0.00
2016-09-28,0.0,33.80,71.8,44.2,56.5,0.00
2016-09-29,0.0,33.80,59.2,44.8,50.2,0.00
2016-09-30,0.0,33.80,,,,0.00
2016-10-01,0.0,0.00,61.5,39.4,47.8,0.00
2016-10-02,0.0,0.00,60.8,40.5,49.8,0.00
2016-10-03,0.0,0.00,51.4,25.5,35.6,0.70
2016-10-04,0.0,0.70,38.5,24.1,29.1,0.00
2016-10-05,0.0,0.70,43.5,25.7,31.5,0.10
2016-10-06,0.0,0.80,38.1,23.9,29.1,0.00
2016-10-07,0.0,0.80,47.3,22.3,34.2,0.00
2016-10-08,0.0,0.80,56.5,30.9,43.0,0.00
2016-10-09,0.0,0.80,60.1,40.1,47.5,0.00
2016-10-10,0.0,0.80,61.0,38.1,47.5,0.00
2016-10-11,0.0,0.80,55.0,30.9,40.5,0.60
2016-10-12,0.0,1.40,51.8,29.5,38.7,0.00
2016-10-13,0.0,1.40,59.4,33.8,45.7,0.00
2016-10-14,0.0,1.40,64.8,42.1,51.1,0.00
2016-10-15,0.0,1.40,64.9,44.4,52.5,0.00
2016-10-16,0.0,1.40,54.1,40.6,47.7,0.00
2016-10-17,0.0,1.40,46.2,23.5,32.7,0.20
