#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1324: Rat Creek, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rat Creek (1324) 
# Colorado  SNOTEL Site - 11680 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:03:38 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2024-08-29,0.0,,61.2,38.8,49.5,
2024-08-30,0.0,,61.3,35.2,48.7,
2024-08-31,0.0,,61.7,38.7,48.6,
2024-09-01,0.0,,58.6,37.2,46.2,
2024-09-02,0.0,,60.6,36.1,47.1,
2024-09-03,0.0,,60.8,43.9,50.2,
2024-09-04,0.0,,61.9,42.4,50.2,
2024-09-05,0.0,,57.4,32.9,42.8,
2024-09-06,0.0,,61.2,31.3,45.5,
2024-09-07,0.0,,57.4,35.8,43.2,
2024-09-08,0.0,,56.7,36.9,45.0,
2024-09-09,0.0,,58.5,37.2,47.5,
2024-09-10,0.0,,58.1,36.9,44.6,
2024-09-11,0.0,,54.7,36.0,43.3,
2024-09-12,0.0,,55.9,40.3,47.7,
2024-09-13,0.0,,59.4,36.1,46.8,
2024-09-14,0.0,,59.7,36.5,47.1,
2024-09-15,0.0,,55.6,38.5,45.3,
2024-09-16,0.0,,42.4,33.8,39.6,
2024-09-17,0.1,,44.8,32.9,39.4,
2024-09-18,0.1,,52.5,28.2,39.7,
2024-09-19,0.1,,54.7,33.1,42.4,
2024-09-20,0.1,,57.7,35.8,45.0,
2024-09-21,0.1,,52.3,30.0,37.2,
2024-09-22,0.5,,42.4,27.5,33.6,
2024-09-23,0.2,,51.6,29.7,39.7,
2024-09-24,0.2,,57.9,32.4,44.2,
2024-09-25,0.0,,62.2,38.5,48.2,
2024-09-26,0.0,,62.4,39.7,50.0,
2024-09-27,0.0,,61.5,39.6,48.6,
2024-09-28,0.0,,58.5,38.8,47.5,
2024-09-29,0.0,,61.5,38.1,48.4,
2024-09-30,0.0,,61.9,39.4,49.6,
2024-10-01,0.0,,64.2,39.0,48.9,
2024-10-02,0.0,,61.3,39.2,49.3,
2024-10-03,0.0,,61.0,37.9,47.8,
2024-10-04,0.1,,60.4,36.1,47.1,
2024-10-05,0.1,,58.6,38.1,47.1,
2024-10-06,0.1,,60.1,35.2,45.9,
2024-10-07,0.1,,56.3,35.1,44.2,
2024-10-08,0.1,,54.3,34.0,42.1,
2024-10-09,0.2,,52.3,33.6,41.0,
2024-10-10,0.2,,55.0,34.0,43.2,
2024-10-11,0.2,,54.0,35.4,43.3,
2024-10-12,0.2,,54.1,34.5,43.5,
2024-10-13,0.2,,52.7,33.3,40.5,
2024-10-14,0.2,,50.5,32.9,39.7,
2024-10-15,0.2,,51.6,31.3,39.4,
2024-10-16,0.2,,43.3,29.5,33.6,
2024-10-17,0.4,,34.3,29.7,31.6,
2024-10-18,0.5,,32.0,27.0,29.5,
2024-10-19,1.5,,36.5,25.0,30.2,
2024-10-20,1.9,,33.1,18.0,27.0,
2024-10-21,2.6,,39.7,17.2,29.1,
2024-10-22,2.6,,49.5,25.7,37.0,
2024-10-23,2.4,,50.5,29.5,38.5,
2024-10-24,2.3,,47.8,29.1,37.2,
2024-10-25,2.2,,49.3,26.2,36.7,
