#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1325: Elwood Pass, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Elwood Pass (1325) 
# Colorado  SNOTEL Site - 11680 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:01:39 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2024-08-30,,,56.3,37.4,46.6,
2024-08-31,0.0,0.00,60.4,37.9,48.6,0.00
2024-09-01,0.0,0.00,58.8,38.3,47.5,0.00
2024-09-02,0.0,0.00,57.6,36.1,46.8,0.00
2024-09-03,0.0,0.00,59.9,38.8,48.2,0.00
2024-09-04,0.0,0.00,62.4,42.8,51.6,0.00
2024-09-05,0.0,0.00,56.1,34.0,42.6,0.00
2024-09-06,0.0,0.00,60.6,32.9,45.0,0.00
2024-09-07,0.0,0.00,58.8,36.9,46.0,0.00
2024-09-08,0.0,0.00,61.2,37.8,45.9,0.00
2024-09-09,0.0,0.00,57.9,40.1,46.9,0.00
2024-09-10,0.0,0.00,58.3,38.3,46.0,0.00
2024-09-11,0.0,0.00,57.0,34.9,45.7,0.00
2024-09-12,0.0,0.00,55.4,43.9,48.6,0.00
2024-09-13,0.0,0.00,55.4,40.6,46.8,
2024-09-14,0.0,,59.0,38.3,48.0,
2024-09-15,0.0,,58.6,40.1,47.1,
2024-09-16,0.0,,46.9,37.6,41.5,
2024-09-17,0.0,,48.9,35.6,40.6,
2024-09-18,0.0,,48.2,31.5,40.3,
2024-09-19,0.0,,52.7,38.3,44.4,
2024-09-20,0.0,,56.1,39.6,46.9,
2024-09-21,0.0,,55.6,30.9,39.4,
2024-09-22,0.0,,41.0,28.9,34.2,
2024-09-23,0.0,,52.0,29.7,39.7,
2024-09-24,0.0,,58.5,33.3,45.5,
2024-09-25,0.0,,59.7,40.6,49.3,
2024-09-26,0.0,,61.0,39.9,50.7,
2024-09-27,0.0,,62.6,41.0,48.9,
2024-09-28,0.0,,60.4,40.5,48.6,
2024-09-29,0.0,,59.2,39.0,48.0,
2024-09-30,0.0,,61.0,40.3,49.1,
2024-10-01,0.0,,58.3,39.2,48.7,
2024-10-02,0.0,,59.2,37.2,47.3,
2024-10-03,0.0,,59.7,38.5,48.0,
2024-10-04,0.0,,59.2,36.1,47.8,
2024-10-05,0.0,,57.0,35.4,45.7,
2024-10-06,0.0,,60.4,38.8,48.4,
2024-10-07,0.0,,55.6,34.2,44.1,
2024-10-08,0.0,,54.5,34.9,43.2,
2024-10-09,0.0,,53.6,35.6,41.5,
2024-10-10,0.0,,55.4,34.5,43.9,
2024-10-11,0.0,,53.2,37.2,44.6,
2024-10-12,0.0,,53.8,37.8,44.2,
2024-10-13,0.0,,52.7,36.7,43.7,
2024-10-14,0.0,,52.2,35.6,42.3,
2024-10-15,0.0,,53.4,31.6,37.6,
2024-10-16,0.0,,45.3,30.0,34.2,
2024-10-17,0.2,,33.3,29.7,31.6,
2024-10-18,0.7,,35.8,27.1,30.7,
2024-10-19,1.7,,34.7,24.6,29.7,
2024-10-20,2.4,,35.6,21.6,28.0,
2024-10-21,2.7,,34.7,18.5,27.1,
2024-10-22,2.6,,48.0,26.1,37.0,
2024-10-23,2.6,,50.2,30.0,40.6,
