#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 840: Upper San Juan, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Upper San Juan (840) 
# Colorado  SNOTEL Site - 10140 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:04:58 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1978-10-01,0.0,0.00,32.0,32.0,32.0,0.00
1978-10-02,0.0,0.00,32.0,32.0,32.0,0.20
1978-10-03,0.0,0.20,32.0,32.0,32.0,0.00
1978-10-04,0.0,0.20,32.0,32.0,32.0,0.10
1978-10-05,0.0,0.30,32.0,32.0,32.0,0.00
1978-10-06,0.0,0.30,32.0,32.0,32.0,0.10
1978-10-07,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-08,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-09,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-10,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-11,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-12,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-13,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-14,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-15,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-16,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-17,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-18,0.0,0.40,32.0,32.0,32.0,0.00
1978-10-19,0.0,0.40,32.0,32.0,32.0,0.10
1978-10-20,0.0,0.50,32.0,32.0,32.0,0.00
1978-10-21,0.0,0.50,32.0,32.0,32.0,0.80
1978-10-22,0.0,1.30,32.0,32.0,32.0,0.70
1978-10-23,0.5,2.00,32.0,32.0,32.0,0.10
1978-10-24,0.5,2.10,32.0,32.0,32.0,0.80
1978-10-25,0.8,2.90,32.0,32.0,32.0,0.10
1978-10-26,0.8,3.00,32.0,32.0,32.0,0.00
1978-10-27,0.8,3.00,32.0,32.0,32.0,0.00
1978-10-28,0.7,3.00,32.0,32.0,32.0,0.00
1978-10-29,0.7,3.00,32.0,32.0,32.0,0.00
1978-10-30,0.5,3.00,32.0,32.0,32.0,0.00
1978-10-31,0.4,3.00,32.0,32.0,32.0,0.00
1978-11-01,0.4,3.00,32.0,32.0,32.0,0.00
1978-11-02,0.4,3.00,32.0,32.0,32.0,1.00
1978-11-03,0.6,4.00,,,,0.10
1978-11-04,0.6,4.10,32.0,32.0,32.0,0.10
1978-11-05,0.6,4.20,32.0,32.0,32.0,0.00
1978-11-06,0.6,4.20,32.0,32.0,32.0,0.00
1978-11-07,0.6,4.20,32.0,32.0,32.0,0.00
1978-11-08,0.6,4.20,32.0,32.0,32.0,0.00
1978-11-09,0.6,4.20,32.0,32.0,32.0,0.00
1978-11-10,0.6,4.20,32.0,32.0,32.0,1.00
1978-11-11,0.9,5.20,32.0,32.0,32.0,1.60
1978-11-12,3.1,6.80,32.0,32.0,32.0,0.80
1978-11-13,3.9,7.60,32.0,32.0,32.0,0.10
1978-11-14,4.1,7.70,32.0,32.0,32.0,0.10
1978-11-15,4.1,7.80,32.0,32.0,32.0,0.00
1978-11-16,4.1,7.80,32.0,32.0,32.0,0.00
1978-11-17,4.1,7.80,32.0,32.0,32.0,0.10
1978-11-18,4.1,7.90,32.0,32.0,32.0,0.00
1978-11-19,4.1,7.90,32.0,32.0,32.0,0.00
1978-11-20,4.1,7.90,,,,0.00
1978-11-21,4.1,7.90,32.0,32.0,32.0,0.40
1978-11-22,4.5,8.30,32.0,32.0,32.0,0.40
1978-11-23,4.9,8.70,32.0,32.0,32.0,0.10
1978-11-24,4.9,8.80,32.0,32.0,32.0,1.70
1978-11-25,6.4,10.50,32.0,32.0,32.0,0.30
1978-11-26,6.9,10.80,32.0,32.0,32.0,0.60
1978-11-27,7.6,11.40,32.0,32.0,32.0,0.10
1978-11-28,7.6,11.50,32.0,32.0,32.0,0.00
1978-11-29,7.7,11.50,32.0,32.0,32.0,0.00
1978-11-30,7.8,11.50,,,,0.00
1978-12-01,7.8,11.50,32.0,32.0,32.0,2.30
1978-12-02,10.9,13.80,32.0,32.0,32.0,1.60
1978-12-03,12.6,15.40,32.0,32.0,32.0,0.00
1978-12-04,12.6,15.40,32.0,32.0,32.0,0.10
1978-12-05,12.7,15.50,,,,1.40
1978-12-06,14.4,16.90,32.0,32.0,32.0,1.40
1978-12-07,16.1,18.30,32.0,32.0,32.0,0.00
1978-12-08,16.3,18.30,32.0,32.0,32.0,0.00
1978-12-09,16.3,18.30,,,,0.00
1978-12-10,16.3,18.30,32.0,32.0,32.0,0.00
1978-12-11,16.3,18.30,32.0,32.0,32.0,0.20
1978-12-12,16.3,18.50,32.0,32.0,32.0,0.00
1978-12-13,16.3,18.50,32.0,32.0,32.0,0.00
1978-12-14,16.3,18.50,,,,0.20
1978-12-15,16.6,18.70,,,,0.70
1978-12-16,17.3,19.40,,,,0.40
1978-12-17,17.9,19.80,32.0,32.0,32.0,0.20
1978-12-18,18.5,20.00,32.0,32.0,32.0,4.10
1978-12-19,22.8,24.10,32.0,32.0,32.0,0.20
1978-12-20,23.5,24.30,32.0,32.0,32.0,0.00
1978-12-21,23.5,24.30,32.0,32.0,32.0,0.20
1978-12-22,23.5,24.50,32.0,32.0,32.0,0.00
1978-12-23,23.6,24.50,32.0,32.0,32.0,0.00
1978-12-24,23.6,24.50,32.0,32.0,32.0,0.00
1978-12-25,23.8,24.50,32.0,32.0,32.0,0.00
1978-12-26,23.8,24.50,32.0,32.0,32.0,0.00
1978-12-27,23.8,24.50,32.0,32.0,32.0,0.10
1978-12-28,24.0,24.60,32.0,32.0,32.0,0.70
1978-12-29,24.6,25.30,32.0,32.0,32.0,0.60
1978-12-30,25.3,25.90,32.0,32.0,32.0,0.10
