#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 843: Vallecito, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Vallecito (843) 
# Colorado  SNOTEL Site - 10740 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:05:08 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1986-08-25,,,21.0,21.0,21.0,
1986-08-26,0.0,,21.0,14.2,16.9,
1986-08-27,0.0,,57.9,41.5,48.6,
1986-08-28,0.0,,54.3,42.6,47.1,
1986-08-29,0.0,,58.1,39.7,45.0,
1986-08-30,0.0,,63.1,40.5,49.3,
1986-08-31,0.0,,66.2,39.7,50.5,
1986-09-01,0.0,,54.9,36.7,43.0,
1986-09-02,0.0,,57.0,35.2,44.6,
1986-09-03,0.0,,59.5,34.9,47.7,
1986-09-04,0.0,,61.7,43.3,50.7,
1986-09-05,0.0,,64.6,43.3,52.5,
1986-09-06,0.0,,65.7,45.9,54.5,
1986-09-07,0.0,,60.6,40.3,46.9,
1986-09-08,0.0,,49.5,36.3,40.8,
1986-09-09,0.0,,39.0,37.2,37.9,
1986-09-10,0.0,,43.7,27.7,33.3,
1986-09-11,0.0,,52.2,28.8,39.9,
1986-09-12,0.0,,52.7,34.0,43.5,
1986-09-13,0.0,,45.5,40.6,42.3,
1986-09-14,0.0,,55.2,37.8,44.6,
1986-09-15,0.0,,54.3,37.0,43.7,
1986-09-16,0.0,,52.0,37.9,42.3,
1986-09-17,0.0,,50.2,33.3,41.7,
1986-09-18,0.0,,48.2,37.0,41.7,
1986-09-19,0.0,,52.2,35.2,42.8,
1986-09-20,0.0,,50.2,39.6,43.7,
1986-09-21,0.0,,51.6,35.2,42.4,
1986-09-22,0.0,,48.0,32.0,37.6,
1986-09-23,0.0,,40.6,32.9,35.6,
1986-09-24,0.0,,35.2,20.5,27.3,
1986-09-25,0.4,,32.0,24.4,27.0,
1986-09-26,1.6,,39.6,23.7,30.0,
1986-09-27,1.6,,38.7,27.5,32.7,
1986-09-28,1.5,,45.7,28.9,36.0,
1986-09-29,1.3,,44.1,25.5,32.4,
1986-09-30,1.3,,38.3,23.2,31.1,
1986-10-01,1.6,0.0,46.8,29.7,37.0,0.0
1986-10-02,1.1,0.0,39.7,31.8,34.5,0.3
1986-10-03,1.1,0.3,33.1,19.2,26.8,0.3
1986-10-04,1.6,0.6,49.1,18.7,32.5,0.0
1986-10-05,0.8,0.6,54.1,28.4,39.6,0.1
1986-10-06,0.5,0.7,48.4,32.0,35.8,0.0
1986-10-07,0.1,0.7,52.2,30.6,37.9,0.0
1986-10-08,0.0,0.7,53.4,30.2,40.6,0.0
1986-10-09,0.0,0.7,48.9,33.8,39.2,0.0
1986-10-10,0.0,0.7,36.1,29.5,32.2,0.6
1986-10-11,0.2,1.3,29.8,23.2,27.9,2.0
1986-10-12,3.0,3.3,27.9,14.9,20.8,0.3
1986-10-13,3.4,3.6,42.1,12.4,25.5,0.0
1986-10-14,3.4,3.6,59.5,25.5,36.3,0.1
1986-10-15,3.4,3.7,55.6,29.7,38.5,0.0
1986-10-16,3.2,3.7,52.3,30.9,37.9,0.0
1986-10-17,3.1,3.7,,,,0.0
