#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 904: Columbus Basin, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Columbus Basin (904) 
# Colorado  SNOTEL Site - 10780 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:01:06 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1994-09-22,,,45.5,35.6,42.4,
1994-09-23,0.0,,63.7,34.0,46.6,
1994-09-24,0.0,,60.6,34.7,45.0,
1994-09-25,0.0,,60.3,34.2,43.2,
1994-09-26,0.0,,60.6,33.8,46.0,
1994-09-27,0.0,,63.5,34.5,46.4,
1994-09-28,0.0,,66.2,36.7,48.0,
1994-09-29,0.0,,55.9,38.8,46.0,
1994-09-30,0.0,,44.6,31.6,36.7,
1994-10-01,0.0,0.00,46.0,28.9,35.1,0.00
1994-10-02,0.0,0.00,51.1,29.7,37.6,0.00
1994-10-03,0.0,0.00,44.2,30.7,37.6,0.20
1994-10-04,0.0,0.20,46.8,35.2,40.1,0.20
1994-10-05,0.1,0.40,41.2,25.9,35.2,0.20
1994-10-06,0.2,0.60,36.5,21.4,27.3,0.00
1994-10-07,0.3,0.60,45.1,21.2,30.0,0.10
1994-10-08,0.3,0.70,48.9,23.7,33.3,0.00
1994-10-09,0.2,0.70,53.1,26.2,36.7,0.00
1994-10-10,0.0,0.70,53.6,29.3,37.6,0.00
1994-10-11,0.0,0.70,49.8,28.8,36.3,0.00
1994-10-12,0.0,0.70,52.9,28.2,38.1,0.10
1994-10-13,0.0,0.80,48.0,31.5,38.7,0.00
1994-10-14,0.0,0.80,33.1,25.0,27.9,1.90
1994-10-15,2.1,2.70,24.6,19.6,22.3,1.60
1994-10-16,3.7,4.30,33.1,10.0,19.9,0.40
1994-10-17,3.8,4.70,31.8,17.4,21.9,0.70
1994-10-18,4.5,5.40,38.8,21.7,26.4,0.10
1994-10-19,4.5,5.50,45.1,17.8,26.2,0.00
1994-10-20,4.4,5.50,42.3,19.4,28.8,0.00
1994-10-21,4.4,5.50,47.3,23.9,31.6,0.00
1994-10-22,4.4,5.50,51.1,24.1,33.4,0.00
1994-10-23,4.3,5.50,51.1,24.3,32.4,0.00
1994-10-24,4.3,5.50,45.1,22.8,30.6,0.00
1994-10-25,4.2,5.50,47.5,21.6,29.5,0.00
1994-10-26,4.2,5.50,42.3,21.9,30.4,0.00
1994-10-27,4.2,5.50,48.7,25.2,36.5,0.10
1994-10-28,4.2,5.60,54.5,30.2,39.2,0.00
1994-10-29,4.1,5.60,51.1,27.7,35.2,0.00
1994-10-30,4.1,5.60,40.3,19.0,28.9,0.00
1994-10-31,4.0,5.60,45.5,20.7,32.5,0.00
1994-11-01,4.0,5.60,50.7,28.8,37.9,0.00
1994-11-02,4.0,5.60,37.2,26.2,31.3,0.00
1994-11-03,4.0,5.60,26.1,11.7,21.2,0.50
1994-11-04,4.8,6.10,28.9,3.6,15.6,0.10
1994-11-05,4.8,6.20,44.6,21.9,30.6,0.10
1994-11-06,4.8,6.30,44.6,21.6,32.9,0.10
1994-11-07,4.9,6.40,42.1,27.1,32.9,0.00
1994-11-08,4.9,6.40,29.5,15.8,24.3,0.40
1994-11-09,5.4,6.80,40.8,9.9,21.0,0.10
1994-11-10,5.4,6.90,42.4,19.9,28.9,0.10
1994-11-11,5.4,7.00,36.3,21.4,28.2,0.70
1994-11-12,6.2,7.70,29.1,15.4,23.9,1.80
1994-11-13,8.4,9.50,18.1,0.3,12.9,0.10
1994-11-14,8.5,9.60,26.8,-6.2,4.5,0.00
1994-11-15,8.5,9.60,33.8,3.9,14.4,0.10
1994-11-16,8.5,9.70,30.7,12.0,22.8,0.20
1994-11-17,8.6,9.90,12.9,6.6,9.3,0.20
1994-11-18,8.8,10.10,20.8,5.4,14.4,0.20
1994-11-19,8.9,10.30,17.6,4.8,12.7,0.30
1994-11-20,9.4,10.60,32.2,6.1,19.4,0.40
1994-11-21,9.7,11.00,24.4,13.6,19.2,0.00
1994-11-22,9.8,11.00,27.3,7.9,14.5,0.00
1994-11-23,9.7,11.00,31.3,8.8,14.5,0.00
