#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1005: Ute Creek, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ute Creek (1005) 
# Colorado  SNOTEL Site - 10730 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:05:02 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2000-08-16,,,-19.8,-20.7,-20.4,
2000-08-17,,,-21.5,-21.8,-21.6,
2000-08-18,,,-22.5,-22.7,-22.5,
2000-08-19,,,,,,
2000-08-20,,,,,,
2000-08-21,,,,,,
2000-08-22,,,,,,
2000-08-23,,,,,,
2000-08-24,,,,,,
2000-08-25,,,,,,
2000-08-26,,,,,,
2000-08-27,,,,,,
2000-08-28,,,,,,
2000-08-29,,,,,,
2000-08-30,,,,,,
2000-08-31,,,,,,
2000-09-01,,,,,,
2000-09-02,,,,,,
2000-09-03,,,,,,
2000-09-04,,,,,,
2000-09-05,,,,,,
2000-09-06,,,,,,
2000-09-07,,,,,,
2000-09-08,,,,,,
2000-09-09,,,,,,
2000-09-10,,,,,,
2000-09-11,,,,,,
2000-09-12,,,-23.8,-24.2,-24.2,
2000-09-13,,,-22.7,-23.3,-22.9,
2000-09-14,,,-20.2,-22.4,-21.1,
2000-09-15,,,-22.0,-22.5,-22.0,
2000-09-16,,,-21.8,-22.4,-22.2,
2000-09-17,,,-18.2,-20.0,-19.7,
2000-09-18,,,-24.9,-25.1,-25.1,
2000-09-19,,,-20.4,-22.4,-20.7,
2000-09-20,,,-26.3,-26.9,-26.5,
2000-09-21,,,-22.5,-22.9,-22.7,
2000-09-22,,,-20.7,-21.5,-21.1,
2000-09-23,,,-25.2,-26.3,-25.6,
2000-09-24,,,-30.3,-30.6,-30.5,
2000-09-25,,,-28.5,-28.8,-28.5,
2000-09-26,,,-23.3,-24.7,-24.2,
2000-09-27,,,-24.7,-25.4,-25.1,
2000-09-28,,,-23.6,-24.5,-24.3,
2000-09-29,,,,,,
2000-09-30,,,-20.6,-20.6,-20.6,
2000-10-01,0.0,0.0,-21.5,-22.5,-22.4,0.0
2000-10-02,0.0,0.0,-19.5,-19.8,-19.8,0.0
2000-10-03,0.0,0.0,-20.6,-22.2,-21.1,0.1
2000-10-04,0.0,0.1,-24.9,-25.2,-25.2,0.0
2000-10-05,0.0,0.1,-27.4,-27.9,-27.6,0.1
2000-10-06,0.0,0.2,-26.1,-27.9,-27.0,0.0
2000-10-07,0.0,0.2,-26.3,-26.9,-26.3,0.0
2000-10-08,0.0,0.2,-28.5,-28.5,-28.5,0.0
2000-10-09,0.0,0.2,-29.2,-29.4,-29.4,0.0
2000-10-10,0.0,0.2,-26.1,-26.3,-26.3,0.0
2000-10-11,0.0,0.2,-25.6,-26.0,-25.8,0.0
2000-10-12,0.0,0.2,-27.0,-27.8,-27.4,0.0
2000-10-13,0.0,0.2,-31.0,-31.2,-31.0,0.0
2000-10-14,0.0,0.2,-29.7,-30.5,-30.1,0.0
2000-10-15,0.0,0.2,-26.3,-27.2,-26.7,0.0
2000-10-16,0.0,0.2,-27.9,-28.8,-28.5,0.0
2000-10-17,0.0,0.2,-28.8,-29.2,-29.0,0.0
2000-10-18,0.0,0.2,-28.5,-29.0,-28.8,0.0
