#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1120: Elliot Ridge, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Elliot Ridge (1120) 
# Colorado  SNOTEL Site - 10550 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:01:38 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2009-08-12,0.0,22.9,68.9,50.2,58.6,0.0
2009-08-13,0.0,22.9,67.1,45.7,57.0,0.0
2009-08-14,0.0,22.9,56.5,39.9,46.6,0.3
2009-08-15,0.0,23.2,59.4,36.0,45.0,0.0
2009-08-16,0.0,23.2,57.6,32.9,44.8,0.0
2009-08-17,0.0,23.2,62.6,34.7,47.7,0.0
2009-08-18,0.0,23.2,61.0,40.6,48.9,0.0
2009-08-19,0.0,23.2,62.6,36.9,50.2,0.0
2009-08-20,0.0,23.2,66.4,42.8,53.4,0.0
2009-08-21,0.0,23.2,71.2,45.0,58.8,0.0
2009-08-22,0.0,23.2,74.7,54.0,63.3,0.0
2009-08-23,0.0,23.2,70.0,46.8,57.4,0.0
2009-08-24,0.0,23.2,58.5,42.8,50.4,0.0
2009-08-25,0.0,23.2,73.2,40.8,48.9,0.0
2009-08-26,0.0,23.2,61.0,41.9,48.9,0.0
2009-08-27,0.0,23.2,89.4,43.5,53.8,0.0
2009-08-28,0.0,23.2,68.4,48.4,58.5,0.0
2009-08-29,0.0,23.2,70.3,48.6,57.0,0.0
2009-08-30,0.0,23.2,65.5,42.4,51.6,0.0
2009-08-31,0.0,23.2,66.4,45.7,55.4,0.0
2009-09-01,0.0,23.2,66.6,48.2,56.5,0.0
2009-09-02,0.0,23.2,65.8,48.2,55.9,0.0
2009-09-03,0.0,23.2,66.0,48.6,54.3,0.0
2009-09-04,0.0,23.2,64.4,45.5,52.5,0.0
2009-09-05,0.0,23.2,62.8,45.0,52.9,0.0
2009-09-06,0.0,23.2,61.3,45.5,50.2,0.0
2009-09-07,0.0,23.2,63.9,44.2,52.2,0.0
2009-09-08,0.0,23.2,65.7,46.0,53.1,0.0
2009-09-09,0.0,23.2,66.4,44.2,54.9,0.0
2009-09-10,0.0,23.2,64.8,49.5,53.2,0.0
2009-09-11,0.0,23.2,,,,0.0
2009-09-12,0.0,23.2,,,,0.2
2009-09-13,0.0,23.4,,,,0.0
2009-09-14,0.0,23.4,,,,0.3
2009-09-15,0.0,23.7,,,,0.5
2009-09-16,0.0,24.2,,,,0.0
2009-09-17,0.0,24.2,,,,0.0
2009-09-18,0.0,24.2,,,,0.2
2009-09-19,0.0,24.4,,,,0.0
2009-09-20,0.0,24.4,,,,0.2
2009-09-21,0.0,24.6,,,,0.2
2009-09-22,0.0,24.8,,,,0.2
2009-09-23,0.0,25.0,,,,0.0
2009-09-24,0.0,25.0,,,,0.0
2009-09-25,0.0,25.0,,,,0.0
2009-09-26,0.0,25.0,,,,0.0
2009-09-27,0.0,25.0,,,,0.0
2009-09-28,0.0,25.0,65.1,49.5,56.1,0.0
2009-09-29,0.0,25.0,62.2,45.9,52.7,0.0
2009-09-30,0.0,25.0,52.9,15.4,36.1,0.3
2009-10-01,0.0,0.0,23.9,14.2,17.6,0.2
2009-10-02,0.0,0.2,40.1,16.9,28.8,0.0
