#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1124: Moon Pass, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Moon Pass (1124) 
# Colorado  SNOTEL Site - 11110 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:03:07 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2008-10-01,0.0,0.0,,,,0.00
2008-10-02,0.0,0.0,,,,0.00
2008-10-03,0.0,0.0,,,,0.00
2008-10-04,0.0,0.0,,,,0.00
2008-10-05,0.0,0.0,,,,0.00
2008-10-06,0.0,0.0,,,,0.00
2008-10-07,0.0,0.0,,,,0.00
2008-10-08,0.0,0.0,,,,0.00
2008-10-09,0.0,0.0,,,,0.00
2008-10-10,0.0,0.0,,,,0.10
2008-10-11,0.0,0.1,,,,0.40
2008-10-12,0.0,0.5,,,,0.00
2008-10-13,0.0,0.5,,,,0.00
2008-10-14,0.0,0.5,,,,0.00
2008-10-15,0.0,0.5,,,5.0,0.00
2008-10-16,0.0,0.5,49.1,28.8,36.7,0.00
2008-10-17,0.0,0.5,53.8,30.9,41.4,0.10
2008-10-18,0.0,0.6,54.0,34.2,43.2,0.00
2008-10-19,0.0,0.6,50.2,32.5,39.2,0.00
2008-10-20,0.0,0.6,47.5,28.8,36.5,0.00
2008-10-21,0.0,0.6,47.3,14.4,32.5,0.00
2008-10-22,0.0,0.6,22.5,10.6,14.7,0.00
2008-10-23,0.0,0.6,38.7,12.9,27.0,0.00
2008-10-24,0.0,0.6,41.4,27.5,32.5,0.00
2008-10-25,0.0,0.6,52.5,29.5,40.1,0.00
2008-10-26,0.0,0.6,51.6,33.4,40.1,0.00
2008-10-27,0.0,0.6,53.1,30.6,40.5,0.00
2008-10-28,0.0,0.6,51.4,30.7,39.9,0.00
2008-10-29,0.0,0.6,52.2,32.0,40.5,0.00
2008-10-30,0.0,0.6,51.3,33.4,40.5,0.00
2008-10-31,0.0,0.6,52.2,31.3,40.5,0.00
2008-11-01,0.0,0.6,50.0,31.5,39.6,0.10
2008-11-02,0.0,0.7,50.7,30.6,39.6,0.10
2008-11-03,0.1,0.8,45.3,25.3,34.3,0.00
2008-11-04,0.0,0.8,36.9,21.6,30.0,0.00
2008-11-05,0.0,0.8,21.4,5.5,11.5,0.10
2008-11-06,0.0,0.9,17.4,2.7,9.3,0.00
2008-11-07,0.0,0.9,34.9,10.6,23.2,0.20
2008-11-08,0.2,1.1,37.0,21.2,26.6,0.00
2008-11-09,0.2,1.1,36.3,21.2,27.1,0.00
2008-11-10,0.2,1.1,29.5,16.3,22.1,0.00
2008-11-11,0.1,1.1,28.8,15.4,21.2,0.00
2008-11-12,0.1,1.1,30.6,16.3,23.5,0.10
2008-11-13,0.3,1.2,46.2,25.9,32.7,0.00
2008-11-14,0.3,1.2,27.9,15.8,22.3,0.00
2008-11-15,0.3,1.2,40.5,15.3,28.0,0.00
2008-11-16,0.3,1.2,43.9,27.1,34.5,0.00
2008-11-17,0.3,1.2,46.8,30.4,36.9,0.00
2008-11-18,0.3,1.2,49.8,29.8,38.3,0.00
2008-11-19,0.2,1.2,44.2,27.1,34.2,0.00
2008-11-20,0.2,1.2,37.2,16.9,28.8,0.00
