#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1161: Black Mountain, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Black Mountain (1161) 
# Colorado  SNOTEL Site - 8950 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:00:36 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2010-10-01,0.0,0.0,,,,0.10
2010-10-02,0.0,0.1,,,,0.00
2010-10-03,0.0,0.1,,,,0.00
2010-10-04,0.0,0.1,,,,0.00
2010-10-05,0.0,0.1,,,,0.30
2010-10-06,0.0,0.4,,,,0.10
2010-10-07,0.0,0.5,,,,0.00
2010-10-08,0.0,0.5,,,,0.20
2010-10-09,0.0,0.7,,,,0.50
2010-10-10,0.0,1.2,,,,0.20
2010-10-11,0.0,1.4,,,,0.00
2010-10-12,0.0,1.4,,,,0.60
2010-10-13,0.0,2.0,,,,0.00
2010-10-14,0.0,2.0,,,,0.00
2010-10-15,0.0,2.0,,,,0.00
2010-10-16,0.0,2.0,,,,0.00
2010-10-17,0.0,2.0,,,,0.10
2010-10-18,0.0,2.1,,,,0.10
2010-10-19,0.0,2.2,,,,0.00
2010-10-20,0.0,2.2,57.2,28.8,40.5,0.10
2010-10-21,0.0,2.3,57.4,29.1,42.3,0.00
2010-10-22,0.0,2.3,44.1,32.5,36.3,0.30
2010-10-23,0.0,2.6,39.9,31.8,34.3,0.30
2010-10-24,0.2,2.9,42.6,30.9,38.1,0.40
2010-10-25,0.1,3.3,40.8,19.4,26.4,0.60
2010-10-26,0.2,3.9,25.3,17.2,20.5,0.10
2010-10-27,0.3,4.0,27.0,16.9,21.2,0.00
2010-10-28,0.3,4.0,48.9,15.8,35.2,0.00
2010-10-29,0.3,4.0,53.6,38.1,45.7,0.00
2010-10-30,0.3,4.0,56.1,32.4,43.5,0.10
2010-10-31,0.4,4.1,42.6,29.8,34.3,0.00
2010-11-01,0.4,4.1,41.9,26.2,32.9,0.00
2010-11-02,0.4,4.1,53.2,35.1,41.9,0.00
2010-11-03,0.4,4.1,47.7,24.3,34.0,0.00
2010-11-04,0.4,4.1,51.6,24.4,36.7,0.00
2010-11-05,0.4,4.1,53.2,33.3,44.1,0.00
2010-11-06,0.4,4.1,60.6,34.7,46.2,0.00
2010-11-07,0.4,4.1,52.5,36.3,42.1,0.00
2010-11-08,0.4,4.1,55.0,28.4,40.1,0.10
2010-11-09,0.4,4.2,32.9,17.1,25.2,0.20
2010-11-10,0.5,4.4,28.2,11.8,19.9,0.10
2010-11-11,0.5,4.5,23.2,6.1,18.3,0.10
2010-11-12,0.6,4.6,26.4,6.1,18.3,0.10
2010-11-13,0.7,4.7,23.4,14.0,18.3,0.10
2010-11-14,0.7,4.8,26.6,13.8,20.3,0.00
2010-11-15,0.8,4.8,27.0,18.9,22.6,0.40
2010-11-16,1.1,5.2,30.6,16.5,23.9,0.70
2010-11-17,1.8,5.9,27.1,13.8,19.6,0.10
2010-11-18,1.8,6.0,43.0,26.2,34.9,0.00
2010-11-19,1.8,6.0,45.5,33.3,37.0,0.00
2010-11-20,1.9,6.0,45.7,27.7,37.9,0.00
2010-11-21,1.9,6.0,35.1,15.3,27.0,0.70
2010-11-22,2.2,6.7,18.3,12.2,14.7,0.00
2010-11-23,2.2,6.7,30.6,15.3,22.6,0.10
2010-11-24,2.3,6.8,21.0,-6.0,1.2,0.00
2010-11-25,2.3,6.8,16.3,-6.7,7.0,0.10
2010-11-26,2.4,6.9,29.5,12.0,22.3,0.00
2010-11-27,2.5,6.9,40.1,16.2,28.8,0.00
2010-11-28,2.5,6.9,30.7,12.2,21.2,0.30
