#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1185: Black Mesa, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Black Mesa (1185) 
# Colorado  SNOTEL Site - 11580 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:00:35 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2012-08-23,,,51.4,40.8,45.5,
2012-08-24,0.0,,53.1,40.3,45.5,
2012-08-25,0.0,,63.0,42.8,51.3,
2012-08-26,0.0,,61.7,45.3,51.4,
2012-08-27,0.0,,64.4,45.5,52.0,
2012-08-28,0.0,,64.2,45.7,53.8,
2012-08-29,0.0,,64.2,47.8,53.2,
2012-08-30,0.0,,61.7,45.9,51.3,
2012-08-31,0.0,,63.5,48.2,53.4,
2012-09-01,0.0,,61.9,40.8,49.6,
2012-09-02,0.0,,59.5,41.0,49.5,
2012-09-03,0.0,,60.1,43.9,50.0,
2012-09-04,0.0,,61.9,42.8,51.3,
2012-09-05,0.0,,63.0,43.2,50.9,
2012-09-06,0.0,,63.1,43.7,52.0,
2012-09-07,0.0,,60.1,42.6,49.5,
2012-09-08,0.0,,55.4,39.4,45.7,
2012-09-09,0.0,,58.3,40.1,47.3,
2012-09-10,0.0,,58.5,40.6,47.7,
2012-09-11,0.0,,51.8,38.5,43.2,
2012-09-12,0.0,,48.0,36.7,40.8,
2012-09-13,0.0,,54.1,34.7,43.5,
2012-09-14,0.0,,56.7,36.9,45.0,
2012-09-15,0.0,,58.8,39.0,47.3,
2012-09-16,0.0,,59.0,40.8,47.8,
2012-09-17,0.0,,51.3,34.2,43.0,
2012-09-18,0.0,,57.4,35.1,45.0,
2012-09-19,0.0,,59.0,37.2,46.8,
2012-09-20,0.0,,56.5,38.8,45.9,
2012-09-21,0.0,,61.2,40.1,48.9,
2012-09-22,0.0,,59.5,42.1,48.4,
2012-09-23,0.0,,56.8,40.8,47.7,
2012-09-24,0.0,,52.0,32.4,40.1,
2012-09-25,0.0,,34.5,29.3,32.5,
2012-09-26,0.0,,41.7,30.0,34.0,
2012-09-27,0.0,,47.5,31.3,37.4,
2012-09-28,0.0,,52.0,32.9,40.1,
2012-09-29,0.0,,51.3,35.6,41.0,
2012-09-30,0.0,,50.0,35.1,40.8,
2012-10-01,0.0,0.00,53.1,36.5,42.8,0.00
2012-10-02,0.0,0.00,55.6,38.3,44.6,0.00
2012-10-03,0.0,0.00,55.6,39.2,45.7,0.00
2012-10-04,0.0,0.00,53.1,38.8,43.9,0.00
2012-10-05,0.0,0.00,48.2,33.3,39.2,0.10
2012-10-06,0.0,0.10,43.0,28.0,34.3,0.00
2012-10-07,0.0,0.10,42.6,23.5,31.5,0.00
2012-10-08,0.0,0.10,45.7,30.0,36.1,0.00
2012-10-09,0.0,0.10,49.6,31.5,38.5,0.00
2012-10-10,0.0,0.10,51.8,33.8,41.0,0.00
2012-10-11,0.0,0.10,53.1,34.0,41.9,0.00
2012-10-12,0.0,0.10,39.4,21.9,30.6,0.70
2012-10-13,0.3,0.80,30.4,21.9,26.8,0.20
2012-10-14,0.4,1.00,44.1,26.2,34.2,0.00
2012-10-15,0.4,1.00,48.2,31.8,38.1,0.10
2012-10-16,0.3,1.10,50.0,30.9,38.8,0.00
2012-10-17,0.2,1.10,41.9,26.6,31.8,0.10
2012-10-18,0.1,1.20,44.2,24.8,34.2,0.00
2012-10-19,0.0,1.20,51.3,32.2,40.3,0.00
2012-10-20,0.0,1.20,50.2,33.4,40.3,0.00
2012-10-21,0.0,1.20,44.4,30.0,36.1,0.00
2012-10-22,0.0,1.20,44.4,28.8,35.1,0.00
2012-10-23,0.0,1.20,44.1,30.7,36.1,0.00
2012-10-24,0.0,1.20,39.6,15.8,28.8,0.10
2012-10-25,0.0,1.30,26.8,9.5,16.5,0.10
2012-10-26,0.0,1.40,28.8,5.9,17.4,0.00
2012-10-27,0.0,1.40,34.3,18.0,25.5,0.00
2012-10-28,0.0,1.40,44.1,25.2,31.8,0.00
2012-10-29,0.0,1.40,45.3,27.3,34.3,0.10
2012-10-30,0.0,1.50,46.2,29.3,34.7,0.00
2012-10-31,0.0,1.50,48.6,30.9,38.1,0.00
2012-11-01,0.0,1.50,45.0,31.6,36.3,0.00
2012-11-02,0.0,1.50,39.4,26.8,32.0,0.00
2012-11-03,0.0,1.50,41.4,25.7,30.9,0.00
2012-11-04,0.0,1.50,41.9,25.2,32.2,0.00
2012-11-05,0.0,1.50,44.2,28.4,34.9,0.10
2012-11-06,0.1,1.60,49.3,32.4,38.5,0.00
2012-11-07,0.1,1.60,46.4,31.6,36.7,0.00
2012-11-08,0.1,1.60,43.0,27.5,34.5,0.00
2012-11-09,0.1,1.60,29.5,21.6,27.1,0.90
2012-11-10,1.1,2.50,23.9,1.6,10.6,0.80
2012-11-11,1.7,3.30,7.9,-3.5,1.0,0.30
2012-11-12,1.9,3.60,27.5,0.0,14.4,0.10
2012-11-13,2.1,3.70,30.2,11.5,18.3,0.00
2012-11-14,2.1,3.70,34.3,17.2,24.3,0.00
2012-11-15,2.2,3.70,38.3,19.2,27.0,0.10
2012-11-16,2.3,3.80,38.7,25.9,29.5,0.00
2012-11-17,2.3,3.80,37.8,24.4,28.8,0.10
2012-11-18,2.3,3.90,29.3,21.2,24.6,0.20
2012-11-19,2.5,4.10,33.3,19.8,25.3,0.00
2012-11-20,2.5,4.10,41.0,23.2,30.6,0.00
2012-11-21,2.5,4.10,41.2,26.2,31.5,0.00
2012-11-22,2.5,4.10,37.9,21.2,28.8,0.00
2012-11-23,2.5,4.10,40.1,25.2,30.4,0.00
2012-11-24,2.5,4.10,39.9,24.8,30.4,0.00
2012-11-25,2.5,4.10,35.8,22.1,27.5,0.00
2012-11-26,2.4,4.10,36.1,19.9,25.3,0.00
2012-11-27,2.4,4.10,36.7,21.6,26.6,0.10
2012-11-28,2.4,4.20,35.2,22.3,27.0,0.00
2012-11-29,2.5,4.20,33.1,21.9,25.7,0.00
2012-11-30,2.5,4.20,36.3,23.2,28.0,0.00
2012-12-01,2.5,4.20,34.9,19.8,26.6,0.00
2012-12-02,2.5,4.20,36.3,23.4,27.9,0.00
2012-12-03,2.5,4.20,29.1,13.8,23.4,0.10
2012-12-04,2.5,4.30,36.3,15.8,26.8,0.00
2012-12-05,2.6,4.30,36.1,25.3,30.2,0.00
2012-12-06,2.6,4.30,29.5,19.0,25.3,0.20
