#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1326: Castle Peak, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Castle Peak (1326) 
# Colorado  SNOTEL Site - 11500 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:00:54 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2024-09-19,0.0,,54.5,36.3,45.0,
2024-09-20,0.0,,57.0,41.9,47.5,
2024-09-21,0.0,,53.1,31.1,39.6,
2024-09-22,0.0,,41.4,30.6,34.3,
2024-09-23,0.0,,50.0,32.5,39.4,
2024-09-24,0.0,,55.8,34.0,44.1,
2024-09-25,0.0,,62.4,43.0,51.6,
2024-09-26,0.0,,60.6,44.1,50.0,
2024-09-27,0.0,,59.2,43.2,49.5,
2024-09-28,0.0,,60.6,45.3,50.9,
2024-09-29,0.0,,61.0,45.3,51.1,
2024-09-30,0.0,,60.3,42.4,49.8,
2024-10-01,0.0,0.00,59.0,44.8,50.5,0.00
2024-10-02,0.0,0.00,59.5,41.9,48.6,0.00
2024-10-03,0.0,0.00,58.3,37.4,46.4,0.00
2024-10-04,0.0,0.00,57.9,42.1,49.3,0.00
2024-10-05,0.0,0.00,54.9,37.9,46.8,0.00
2024-10-06,0.0,0.00,57.2,36.7,45.5,0.00
2024-10-07,0.0,0.00,52.3,35.4,42.1,0.00
2024-10-08,0.0,0.00,55.0,36.0,42.8,0.00
2024-10-09,0.0,0.00,52.9,36.9,41.9,0.00
2024-10-10,0.0,0.00,53.4,38.3,44.2,0.00
2024-10-11,0.0,0.00,53.1,38.1,44.8,0.00
2024-10-12,0.0,0.00,51.8,40.3,45.1,0.00
2024-10-13,0.0,0.00,52.5,37.9,44.1,0.00
2024-10-14,0.0,0.00,53.8,35.6,42.6,0.00
2024-10-15,0.0,0.00,50.5,33.8,41.0,0.00
2024-10-16,0.0,0.00,46.4,31.5,36.3,0.30
2024-10-17,0.1,0.30,33.6,29.7,32.0,0.50
2024-10-18,0.4,0.80,34.5,28.8,32.0,0.10
2024-10-19,0.4,0.90,44.1,30.4,36.1,0.00
2024-10-20,0.4,0.90,39.0,22.6,31.6,0.70
2024-10-21,0.8,1.60,34.3,23.4,27.3,0.30
2024-10-22,1.0,1.90,43.3,26.2,35.6,0.00
2024-10-23,1.0,1.90,48.2,31.6,39.7,0.00
2024-10-24,1.0,1.90,43.3,29.8,36.7,0.00
2024-10-25,0.9,1.90,46.0,32.7,38.3,0.00
2024-10-26,0.9,1.90,48.9,35.8,41.2,0.00
2024-10-27,0.9,1.90,49.5,37.8,42.8,0.00
2024-10-28,0.9,1.90,44.2,28.8,35.8,0.80
2024-10-29,1.5,2.70,30.7,14.5,24.4,1.50
2024-10-30,2.6,4.20,21.4,10.4,15.8,0.20
2024-10-31,2.8,4.40,25.2,8.1,19.8,0.10
2024-11-01,2.8,4.50,31.3,21.0,26.4,0.00
2024-11-02,2.8,4.50,35.1,22.8,28.4,0.00
2024-11-03,2.8,4.50,24.8,16.5,20.5,0.20
2024-11-04,3.0,4.70,23.9,10.9,18.0,0.10
2024-11-05,3.1,4.80,20.7,8.2,14.4,0.50
2024-11-06,3.5,5.30,17.2,4.8,9.9,0.30
