#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 547: Ivanhoe, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ivanhoe (547) 
# Colorado  SNOTEL Site - 10540 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:02:04 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1991-10-01,0.0,0.0,,,,0.0
1991-10-02,0.0,0.0,,,,0.0
1991-10-03,0.0,0.0,,,,0.0
1991-10-04,0.0,0.0,,,,0.0
1991-10-05,0.0,0.0,,,,0.0
1991-10-06,0.0,0.0,,,,0.0
1991-10-07,0.0,0.0,,,,0.0
1991-10-08,0.0,0.0,,,,0.0
1991-10-09,0.0,0.0,64.0,64.0,64.0,0.0
1991-10-10,0.0,0.0,64.2,34.9,48.2,0.0
1991-10-11,0.0,0.0,72.7,32.5,48.0,0.2
1991-10-12,0.0,0.2,65.1,30.6,44.6,0.1
1991-10-13,0.0,0.3,58.3,28.4,43.0,0.0
1991-10-14,0.0,0.3,55.2,21.7,38.5,0.0
1991-10-15,0.0,0.3,63.7,24.6,42.3,0.2
1991-10-16,0.0,0.5,67.6,29.8,45.5,0.0
1991-10-17,0.0,0.5,62.2,29.8,44.2,0.1
1991-10-18,0.0,0.6,58.5,29.3,43.0,0.0
1991-10-19,0.0,0.6,57.6,28.9,39.6,0.0
1991-10-20,0.0,0.6,55.8,26.8,38.7,0.0
1991-10-21,0.0,0.6,53.1,22.8,36.5,0.1
1991-10-22,0.0,0.7,55.2,25.7,38.7,0.0
1991-10-23,0.0,0.7,50.9,28.8,37.0,0.3
1991-10-24,0.3,1.0,28.6,21.2,24.6,1.0
1991-10-25,0.9,2.0,42.8,18.5,26.2,0.4
1991-10-26,1.2,2.4,55.0,14.4,30.7,0.0
1991-10-27,1.1,2.4,54.5,21.9,33.8,0.1
1991-10-28,1.1,2.5,27.0,2.8,16.3,0.4
1991-10-29,1.4,2.9,30.6,-4.4,12.4,0.1
1991-10-30,1.4,3.0,21.0,3.4,10.2,0.0
1991-10-31,1.4,3.0,33.1,2.1,14.9,0.1
1991-11-01,1.4,3.1,20.8,9.5,15.6,0.6
1991-11-02,1.9,3.7,20.8,-18.4,3.4,0.0
1991-11-03,2.0,3.7,35.6,-21.3,5.7,0.2
1991-11-04,2.0,3.9,43.7,-2.0,20.8,0.1
1991-11-05,2.1,4.0,40.5,20.7,27.0,0.0
1991-11-06,2.0,4.0,32.2,24.6,27.9,0.8
1991-11-07,2.7,4.8,46.6,12.0,25.5,0.1
1991-11-08,2.7,4.9,58.5,13.3,28.9,0.0
1991-11-09,2.7,4.9,52.7,16.7,33.1,0.0
1991-11-10,2.6,4.9,43.0,27.9,32.2,0.1
1991-11-11,2.7,5.0,45.0,13.8,27.7,0.0
1991-11-12,2.7,5.0,57.9,11.8,27.0,0.0
1991-11-13,2.7,5.0,59.2,13.5,29.5,0.0
1991-11-14,2.7,5.0,46.4,11.1,26.6,0.1
1991-11-15,2.7,5.1,27.5,18.9,22.5,0.0
1991-11-16,2.7,5.1,36.1,20.3,25.3,0.2
1991-11-17,2.9,5.3,30.7,14.5,20.7,0.3
1991-11-18,3.1,5.6,27.1,12.9,19.0,1.2
