#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 938: Buckskin Joe, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Buckskin Joe (938) 
# Colorado  SNOTEL Site - 11160 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:00:41 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1999-07-25,0.0,,,,,
1999-07-26,0.0,,,,,
1999-07-27,0.0,,71.6,41.2,49.6,
1999-07-28,0.0,,66.2,42.1,50.9,
1999-07-29,0.0,,68.9,45.5,52.7,
1999-07-30,0.0,,60.1,41.0,49.6,
1999-07-31,0.0,,58.3,39.4,45.5,
1999-08-01,0.0,,56.7,36.7,42.6,
1999-08-02,0.0,,67.8,35.8,46.6,
1999-08-03,0.0,,61.5,34.9,46.4,
1999-08-04,0.0,,50.9,42.4,45.5,
1999-08-05,0.0,,56.1,41.2,46.4,
1999-08-06,0.0,,60.8,40.8,46.8,
1999-08-07,0.0,,63.7,38.3,46.8,
1999-08-08,0.0,,63.9,37.2,49.5,
1999-08-09,0.0,,55.9,40.5,45.9,
1999-08-10,0.0,,63.1,40.5,47.8,
1999-08-11,0.0,,61.3,42.1,48.0,
1999-08-12,0.0,,59.2,39.9,45.9,
1999-08-13,0.0,,67.5,36.7,49.3,
1999-08-14,0.0,,65.8,41.4,50.9,
1999-08-15,0.0,,60.6,37.4,47.7,
1999-08-16,0.0,,62.6,39.4,48.6,
1999-08-17,0.0,,64.4,40.6,47.8,
1999-08-18,0.0,,65.5,37.0,48.9,
1999-08-19,0.0,,61.9,37.9,46.6,
1999-08-20,0.0,,63.3,43.0,50.0,
1999-08-21,0.0,,62.2,39.9,46.2,
1999-08-22,0.0,,64.8,38.8,48.4,
1999-08-23,0.0,,64.8,37.4,49.1,
1999-08-24,0.0,,63.7,39.9,48.9,
1999-08-25,0.0,,64.8,40.1,46.8,
1999-08-26,0.0,,65.8,39.0,48.6,
1999-08-27,0.0,,59.5,39.9,45.9,
1999-08-28,0.0,,51.8,38.7,44.8,
1999-08-29,0.0,,59.5,39.4,47.5,
1999-08-30,0.0,,65.5,40.3,48.9,
1999-08-31,0.0,,61.9,43.2,49.8,
1999-09-01,0.0,,59.4,40.8,47.1,
1999-09-02,0.0,,59.5,35.1,44.6,
1999-09-03,0.0,,55.4,33.3,43.7,
1999-09-04,0.0,,57.7,32.4,41.9,
1999-09-05,0.0,,61.9,29.8,43.2,
1999-09-06,0.0,,63.1,42.3,48.9,
1999-09-07,0.0,,64.0,34.9,48.0,
1999-09-08,0.0,,64.4,30.4,43.9,
1999-09-09,0.0,,63.7,34.5,47.8,
1999-09-10,0.0,,59.9,34.9,43.5,
1999-09-11,0.0,,47.5,30.9,37.8,
1999-09-12,0.0,,55.6,30.2,40.1,
1999-09-13,0.0,,60.8,35.2,43.7,
1999-09-14,0.0,,57.4,30.4,40.6,
1999-09-15,0.0,,42.8,28.0,34.2,
1999-09-16,0.0,,53.2,28.0,36.7,
1999-09-17,0.0,,47.1,31.3,36.7,
1999-09-18,0.0,,54.3,32.2,40.3,
1999-09-19,0.0,,45.5,31.6,36.0,
1999-09-20,0.0,,42.8,27.1,32.9,
1999-09-21,0.0,,56.5,23.7,37.2,
1999-09-22,0.0,,60.1,34.5,44.2,
1999-09-23,0.0,,57.4,34.3,43.5,
1999-09-24,0.0,,49.1,32.2,38.5,
1999-09-25,0.0,,57.7,38.8,47.1,
1999-09-26,0.0,,57.6,29.8,45.0,
1999-09-27,0.0,,43.7,23.5,32.2,
1999-09-28,0.0,,31.8,14.7,21.9,
1999-09-29,0.0,,54.9,,39.9,
1999-09-30,0.0,,58.3,30.6,42.6,
1999-10-01,0.0,0.0,55.0,28.8,41.9,0.00
1999-10-02,0.0,0.0,49.8,27.9,38.7,0.00
1999-10-03,0.0,0.0,51.3,29.7,38.5,0.00
1999-10-04,0.0,0.0,54.3,30.9,40.1,0.00
1999-10-05,0.0,0.0,57.7,28.0,41.7,0.00
1999-10-06,0.0,0.0,50.7,31.6,40.8,0.30
1999-10-07,0.2,0.3,34.7,26.6,30.0,0.40
1999-10-08,0.5,0.7,45.0,24.8,34.2,0.00
1999-10-09,0.4,0.7,56.8,34.2,42.6,0.00
1999-10-10,0.4,0.7,58.6,32.7,42.4,0.00
1999-10-11,0.2,0.7,57.2,34.3,44.1,0.00
1999-10-12,0.1,0.7,55.6,37.8,44.8,0.00
1999-10-13,0.1,0.7,59.0,36.1,45.0,0.00
1999-10-14,0.1,0.7,54.3,37.2,43.9,0.00
1999-10-15,0.0,0.7,50.4,28.8,39.4,0.00
1999-10-16,0.0,0.7,28.4,2.8,15.6,0.10
1999-10-17,0.0,0.8,35.1,1.9,19.6,0.10
1999-10-18,0.1,0.9,36.3,17.2,25.0,0.20
1999-10-19,0.2,1.1,36.9,14.5,24.8,0.00
1999-10-20,0.3,1.1,44.6,25.0,32.5,0.00
1999-10-21,0.3,1.1,48.9,30.2,36.5,0.00
1999-10-22,0.3,1.1,53.4,26.8,36.1,0.00
1999-10-23,0.2,1.1,53.4,26.6,37.8,0.00
1999-10-24,0.2,1.1,54.9,32.4,40.5,0.00
1999-10-25,0.2,1.1,51.8,28.2,38.1,0.00
1999-10-26,0.2,1.1,57.0,32.7,41.2,0.00
1999-10-27,0.2,1.1,49.1,24.4,36.0,0.00
1999-10-28,0.1,1.1,50.0,23.2,37.9,0.00
1999-10-29,0.2,1.1,29.5,16.0,20.5,0.20
1999-10-30,0.3,1.3,45.9,15.3,30.2,0.00
1999-10-31,0.3,1.3,52.2,28.0,37.9,0.00
1999-11-01,0.3,1.3,43.5,15.1,30.6,0.00
1999-11-02,0.2,1.3,42.6,21.4,31.3,0.00
1999-11-03,0.2,1.3,44.2,27.5,32.9,0.00
1999-11-04,0.2,1.3,48.9,30.6,36.7,0.00
1999-11-05,0.2,1.3,49.8,27.3,37.2,0.00
1999-11-06,0.0,1.3,51.6,27.7,36.9,0.00
1999-11-07,0.0,1.3,50.9,27.1,36.3,0.00
1999-11-08,0.0,1.3,46.8,28.8,36.3,0.00
1999-11-09,0.0,1.3,41.2,27.1,32.5,0.00
1999-11-10,0.0,1.3,52.9,32.0,39.4,0.00
1999-11-11,0.0,1.3,52.2,28.8,39.4,0.00
1999-11-12,0.0,1.3,55.2,28.8,41.0,0.00
1999-11-13,0.0,1.3,52.5,28.8,38.8,0.00
1999-11-14,0.0,1.3,54.7,29.8,38.3,0.00
1999-11-15,0.0,1.3,54.9,31.3,39.2,0.00
1999-11-16,0.0,1.3,51.1,31.5,38.5,0.00
1999-11-17,0.0,1.3,49.5,27.9,38.8,0.00
1999-11-18,0.0,1.3,27.9,16.7,21.0,0.00
1999-11-19,0.0,1.3,42.6,18.9,30.9,0.00
1999-11-20,0.0,1.3,40.6,17.6,30.6,0.10
1999-11-21,0.0,1.4,25.9,14.4,19.4,0.50
1999-11-22,0.5,1.9,19.6,3.7,11.8,0.30
1999-11-23,0.7,2.2,13.5,-1.5,4.6,0.00
1999-11-24,0.6,2.2,15.1,-2.6,5.9,0.10
1999-11-25,0.8,2.3,25.0,9.0,19.6,0.20
1999-11-26,1.0,2.5,36.0,24.4,29.1,0.00
1999-11-27,1.0,2.5,37.2,26.4,30.6,0.00
1999-11-28,1.0,2.5,37.9,22.6,28.8,0.00
1999-11-29,1.0,2.5,41.9,25.2,32.2,0.00
1999-11-30,1.0,2.5,45.9,29.1,36.0,0.00
1999-12-01,1.0,2.5,39.0,22.1,29.3,0.00
1999-12-02,1.0,2.5,25.7,14.4,20.5,0.00
1999-12-03,1.0,2.5,19.4,7.3,14.0,0.00
1999-12-04,1.0,2.5,18.9,-1.8,7.7,0.00
1999-12-05,1.0,2.5,32.7,3.6,21.7,0.10
1999-12-06,1.0,2.6,26.6,15.4,20.1,0.00
1999-12-07,1.0,2.6,25.0,7.2,16.5,0.00
1999-12-08,1.0,2.6,14.4,0.7,9.1,0.30
1999-12-09,1.2,2.9,26.2,2.3,17.1,0.10
1999-12-10,1.4,3.0,29.1,9.3,19.4,0.00
1999-12-11,1.4,3.0,15.8,4.5,9.1,0.00
1999-12-12,1.4,3.0,27.3,6.4,15.8,0.10
1999-12-13,1.4,3.1,27.9,0.1,18.3,0.00
1999-12-14,1.4,3.1,3.4,-4.5,-1.3,0.00
1999-12-15,1.4,3.1,15.8,1.0,9.5,0.10
1999-12-16,1.5,3.2,24.8,13.6,19.4,0.00
1999-12-17,1.6,3.2,20.1,5.7,15.3,0.20
1999-12-18,1.7,3.4,25.9,8.2,17.6,0.30
1999-12-19,1.9,3.7,13.3,5.4,7.9,0.10
1999-12-20,1.9,3.8,10.4,3.0,6.4,0.10
1999-12-21,2.0,3.9,13.1,0.7,5.2,0.00
1999-12-22,2.0,3.9,13.6,0.7,7.5,0.10
1999-12-23,2.1,4.0,30.2,12.0,18.3,0.00
1999-12-24,2.1,4.0,32.9,14.0,20.7,0.00
1999-12-25,2.1,4.0,35.2,14.7,22.3,0.00
1999-12-26,2.1,4.0,33.4,13.1,21.6,0.00
1999-12-27,2.1,4.0,34.0,15.6,23.9,0.00
1999-12-28,2.1,4.0,43.9,25.5,31.3,0.00
1999-12-29,2.1,4.0,35.8,20.7,28.0,0.00
1999-12-30,2.1,4.0,30.7,17.6,21.9,0.00
1999-12-31,2.1,4.0,32.7,17.1,23.2,0.00
2000-01-01,2.1,4.0,27.0,11.7,19.2,0.00
2000-01-02,2.1,4.0,17.2,0.3,10.9,0.00
2000-01-03,2.1,4.0,1.8,-4.2,-2.0,0.00
2000-01-04,2.1,4.0,25.9,-0.8,14.7,0.10
2000-01-05,2.2,4.1,17.1,0.1,8.6,0.00
2000-01-06,2.1,4.1,17.1,-2.6,7.7,0.00
2000-01-07,2.2,4.1,25.5,10.9,17.8,0.00
2000-01-08,2.2,4.1,22.3,7.9,12.7,0.10
2000-01-09,2.2,4.2,10.9,5.4,7.7,0.20
2000-01-10,2.4,4.4,19.6,10.8,14.5,0.30
2000-01-11,2.6,4.7,28.8,19.4,24.1,0.00
2000-01-12,2.6,4.7,25.3,15.3,19.4,0.10
2000-01-13,2.6,4.8,32.2,16.7,24.3,0.00
2000-01-14,2.7,4.8,39.6,26.8,32.5,0.00
2000-01-15,2.7,4.8,39.4,29.8,32.7,0.00
2000-01-16,2.7,4.8,40.6,28.0,31.6,0.00
2000-01-17,2.6,4.8,37.0,27.7,30.2,0.10
2000-01-18,2.7,4.9,37.0,27.3,29.1,0.30
2000-01-19,2.9,5.2,27.5,20.3,23.9,0.30
2000-01-20,3.2,5.5,33.1,20.3,25.3,0.00
2000-01-21,3.2,5.5,29.8,15.6,23.4,0.20
2000-01-22,3.3,5.7,18.9,9.7,13.6,0.40
