#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 940: Lost Dog, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lost Dog (940) 
# Colorado  SNOTEL Site - 9340 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:02:35 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1998-08-08,,,-60.0,-60.3,-60.3,
1998-08-09,,,-60.2,-60.3,-60.3,
1998-08-10,,,-60.2,-60.3,-60.3,
1998-08-11,,,-60.2,-60.3,-60.3,
1998-08-12,,,-60.2,-60.3,-60.3,
1998-08-13,,,-60.2,-60.3,-60.3,
1998-08-14,,,-60.2,-60.3,-60.3,
1998-08-15,,,-60.2,-60.3,-60.3,
1998-08-16,,,-60.2,-60.3,-60.3,
1998-08-17,,,-60.2,-60.3,-60.2,
1998-08-18,,,-60.2,-60.3,-60.3,
1998-08-19,,,-60.2,-60.3,-60.3,
1998-08-20,,,-60.2,-60.3,-60.2,
1998-08-21,,,-60.2,-60.3,-60.3,
1998-08-22,,,-60.2,-60.3,-60.3,
1998-08-23,,,-60.2,-60.3,-60.3,
1998-08-24,,,-60.2,-60.3,-60.3,
1998-08-25,,,-60.0,-60.3,-60.2,
1998-08-26,,,-60.2,-60.3,-60.3,
1998-08-27,,,-60.2,-60.3,-60.3,
1998-08-28,,,-60.0,-60.3,-60.2,
1998-08-29,,,-60.0,-60.3,-60.2,
1998-08-30,,,-60.0,-60.3,-60.2,
1998-08-31,,,-60.2,-60.3,-60.3,
1998-09-01,,,-60.2,-60.3,-60.3,
1998-09-02,,,-60.2,-60.3,-60.3,
1998-09-03,,,-60.0,-60.3,-60.2,
1998-09-04,,,-60.0,-60.3,-60.2,
1998-09-05,,,-60.0,-60.3,-60.2,
1998-09-06,,,-60.2,-60.3,-60.2,
1998-09-07,,,-60.0,-60.3,-60.2,
1998-09-08,,,-60.0,-60.3,-60.2,
1998-09-09,,,-60.2,-60.3,-60.3,
1998-09-10,,,-60.2,-60.3,-60.3,
1998-09-11,,,-60.2,-60.3,-60.3,
1998-09-12,,,-60.2,-60.3,-60.3,
1998-09-13,,,-60.3,-60.3,-60.3,
1998-09-14,,,-60.2,-60.3,-60.3,
1998-09-15,,,-60.2,-60.3,-60.3,
1998-09-16,,,-60.2,-60.3,-60.3,
1998-09-17,,,-60.2,-60.3,-60.3,
1998-09-18,,,-60.2,-60.3,-60.3,
1998-09-19,,,-60.2,-60.3,-60.3,
1998-09-20,,,-60.2,-60.3,-60.3,
1998-09-21,,,-60.2,-60.3,-60.3,
1998-09-22,,,-60.2,-60.3,-60.3,
1998-09-23,,,-60.2,-60.3,-60.3,
1998-09-24,,,-60.2,-60.3,-60.3,
1998-09-25,,,-60.2,-60.3,-60.3,
1998-09-26,,,-60.2,-60.3,-60.3,
1998-09-27,,,-60.2,-60.3,-60.3,
1998-09-28,,,-60.2,-60.3,-60.3,
1998-09-29,,,,,,
1998-09-30,,,-60.2,-60.3,-60.3,
1998-10-01,0.0,0.0,-60.2,-60.3,-60.3,0.70
1998-10-02,0.0,0.7,-60.2,-60.3,-60.3,0.60
1998-10-03,0.2,1.3,-60.3,-60.3,-60.3,0.50
1998-10-04,0.5,1.8,-60.2,-60.3,-60.3,1.10
1998-10-05,1.3,2.9,-60.2,-60.3,-60.3,0.30
1998-10-06,1.3,3.2,-60.2,-60.3,-60.3,0.00
1998-10-07,1.2,3.2,-60.2,-60.3,-60.3,0.10
1998-10-08,1.2,3.3,-60.2,-60.3,-60.3,0.00
1998-10-09,0.9,3.3,-60.2,-60.3,-60.3,0.00
1998-10-10,0.6,3.3,-60.2,-60.3,-60.3,0.00
1998-10-11,0.2,3.3,-60.2,-60.3,-60.3,0.00
1998-10-12,0.2,3.3,-60.2,-60.3,-60.3,0.00
1998-10-13,0.2,3.3,-60.2,-60.3,-60.3,0.00
1998-10-14,0.2,3.3,-60.2,-60.3,-60.3,0.00
1998-10-15,0.2,3.3,-60.2,-60.3,-60.3,0.00
1998-10-16,0.2,3.3,-60.3,-60.3,-60.3,0.10
1998-10-17,0.1,3.4,-60.3,-60.3,-60.3,0.00
1998-10-18,0.0,3.4,-60.2,-60.3,-60.3,0.00
1998-10-19,0.0,3.4,-60.2,-60.3,-60.3,0.00
1998-10-20,0.0,3.4,-60.2,-60.3,-60.3,0.00
1998-10-21,0.0,3.4,-60.2,-60.3,-60.3,0.10
1998-10-22,0.0,3.5,-60.2,-60.3,-60.3,0.00
1998-10-23,0.0,3.5,-60.3,-60.3,-60.3,0.30
1998-10-24,0.3,3.8,-60.3,-60.3,-60.3,0.00
1998-10-25,0.2,3.8,-60.2,-60.3,-60.3,0.00
1998-10-26,0.2,3.8,-60.3,-60.3,-60.3,0.00
1998-10-27,0.1,3.8,-60.3,-60.3,-60.3,0.30
1998-10-28,0.2,4.1,-60.2,-60.3,-60.3,1.10
1998-10-29,1.3,5.2,36.0,28.8,30.9,0.20
1998-10-30,1.3,5.4,41.7,28.0,32.7,0.20
1998-10-31,1.5,5.6,40.3,27.0,31.5,0.10
1998-11-01,1.4,5.7,42.6,26.6,32.2,0.10
1998-11-02,1.5,5.8,35.4,28.2,30.4,0.40
1998-11-03,1.9,6.2,31.1,22.3,25.7,0.60
1998-11-04,2.3,6.8,30.0,18.7,23.5,0.00
1998-11-05,2.3,6.8,34.9,20.1,25.5,0.10
1998-11-06,2.3,6.9,26.8,16.0,21.0,0.40
1998-11-07,2.7,7.3,24.6,13.5,19.0,0.10
