#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 970: Jones Pass, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Jones Pass (970) 
# Colorado  SNOTEL Site - 10420 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 11, 2025, 3:02:11 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1999-10-01,0.0,0.0,,,,0.0
1999-10-02,0.0,0.0,,,,0.0
1999-10-03,0.0,0.0,,,,0.0
1999-10-04,0.0,0.0,58.6,26.2,39.4,0.0
1999-10-05,0.0,0.0,,,,0.0
1999-10-06,0.0,0.0,,,,0.3
1999-10-07,0.0,0.3,,,,0.0
1999-10-08,0.0,0.3,45.5,27.7,34.5,0.5
1999-10-09,0.2,0.8,,,,0.0
1999-10-10,0.0,0.8,,,,0.0
1999-10-11,0.0,0.8,,,,0.0
1999-10-12,0.0,0.8,,,,0.0
1999-10-13,0.0,0.8,,,,0.0
1999-10-14,0.0,0.8,,,,0.0
1999-10-15,0.0,0.8,,,,0.0
1999-10-16,0.0,0.8,,,,0.0
1999-10-17,0.0,0.8,,,,0.0
1999-10-18,0.0,0.8,,,,0.0
1999-10-19,0.0,0.8,,,,0.0
1999-10-20,0.0,0.8,,,,0.0
1999-10-21,0.0,0.8,,,,0.0
1999-10-22,0.0,0.8,,,,0.0
1999-10-23,0.0,0.8,,,,0.0
1999-10-24,0.0,0.8,,,,0.0
1999-10-25,0.0,0.8,,,,0.0
1999-10-26,0.0,0.8,,,,0.0
1999-10-27,0.0,0.8,,,,0.0
1999-10-28,0.0,0.8,,,,0.0
1999-10-29,0.1,0.8,,,,0.4
1999-10-30,0.3,1.2,,,,0.0
1999-10-31,0.3,1.2,,,,0.1
1999-11-01,0.3,1.3,,,,0.0
1999-11-02,0.3,1.3,,,,0.0
1999-11-03,0.3,1.3,,,,0.0
1999-11-04,0.3,1.3,,,,0.0
1999-11-05,0.3,1.3,,,,0.0
1999-11-06,0.3,1.3,,,,0.0
1999-11-07,0.3,1.3,,,,0.0
1999-11-08,0.3,1.3,,,,0.0
1999-11-09,0.3,1.3,,,,0.0
1999-11-10,0.2,1.3,,,,0.0
1999-11-11,0.2,1.3,,,,0.0
1999-11-12,0.2,1.3,,,,0.0
1999-11-13,0.2,1.3,,,,0.0
1999-11-14,0.2,1.3,,,,0.0
1999-11-15,0.2,1.3,,,,0.0
1999-11-16,0.2,1.3,,,,0.0
1999-11-17,0.2,1.3,,,,0.1
1999-11-18,0.3,1.4,,,,0.1
1999-11-19,0.3,1.5,,,,0.0
1999-11-20,0.3,1.5,,,,0.0
1999-11-21,0.4,1.5,,,,0.2
1999-11-22,0.5,1.7,,,,0.1
1999-11-23,0.5,1.8,,,,0.0
1999-11-24,0.5,1.8,,,,0.1
1999-11-25,0.5,1.9,,,,0.2
1999-11-26,0.8,2.1,,,,0.0
1999-11-27,0.8,2.1,,,,0.0
1999-11-28,0.8,2.1,,,,0.0
1999-11-29,0.8,2.1,,,,0.0
1999-11-30,0.8,2.1,,,,0.0
1999-12-01,0.8,2.1,,,,0.1
1999-12-02,0.9,2.2,,,,0.0
1999-12-03,1.1,2.2,19.8,8.8,15.3,0.0
